0.00  9.00 |	2254	219	482	351	416	182	604
0.01  9.00 |	2235	219	478	350	412	180	596
0.02  9.00 |	2225	219	475	348	410	179	594
0.03  9.00 |	2197	218	468	343	405	177	586
0.04  9.00 |	2131	217	456	329	386	171	572
0.05  9.00 |	2063	214	443	313	373	162	558
0.06  9.00 |	2020	213	433	307	367	158	542
0.07  9.00 |	1919	209	411	292	344	149	514
0.08  9.00 |	1876	207	402	283	336	141	507
0.09  9.00 |	1834	206	391	275	330	134	498
0.10  9.00 |	1811	206	391	269	323	130	492
0.11  9.00 |	1757	202	378	261	311	126	479
0.12  9.00 |	1734	202	375	254	310	124	469
0.13  9.00 |	1698	200	367	246	304	120	461
0.14  9.00 |	1659	198	359	243	301	116	442
0.15  9.00 |	1627	196	352	236	294	113	436
0.16  9.00 |	1544	190	341	223	275	105	410
0.17  9.00 |	1515	188	332	219	271	101	404
0.18  9.00 |	1475	186	320	214	265	98	392
0.19  9.00 |	1457	185	317	213	261	96	385
0.20  9.00 |	1444	185	316	209	258	95	381
0.21  9.00 |	1427	184	311	204	256	93	379
0.22  9.00 |	1408	183	309	198	251	92	375
0.23  9.00 |	1366	182	302	195	238	85	364
0.24  9.00 |	1355	182	299	195	233	84	362
0.25  9.00 |	1285	178	282	184	218	81	342
0.26  9.00 |	1276	178	280	182	217	81	338
0.27  9.00 |	1258	178	278	179	215	81	327
0.28  9.00 |	1250	178	277	178	213	80	324
0.29  9.00 |	1220	173	270	174	208	78	317
0.30  9.00 |	1220	173	270	174	208	78	317
0.31  9.00 |	1210	172	268	172	205	78	315
0.32  9.00 |	1160	169	257	160	195	73	306
0.33  9.00 |	1131	168	248	155	189	70	301
0.34  9.00 |	1125	168	247	154	187	69	300
0.35  9.00 |	1102	166	237	154	184	68	293
0.36  9.00 |	1079	164	231	149	179	68	288
0.37  9.00 |	1071	164	231	146	176	68	286
0.38  9.00 |	1020	162	217	138	166	63	274
0.39  9.00 |	1006	161	214	137	165	62	267
0.40  9.00 |	1000	161	212	134	164	62	267
0.41  9.00 |	991	159	208	134	164	62	264
0.42  9.00 |	970	158	206	131	161	60	254
0.43  9.00 |	949	158	201	128	158	58	246
0.44  9.00 |	905	155	192	117	149	57	235
0.45  9.00 |	879	152	184	116	141	56	230
0.46  9.00 |	876	151	184	116	141	56	228
0.47  9.00 |	863	150	182	115	138	54	224
0.48  9.00 |	857	150	180	115	138	53	221
0.49  9.00 |	846	150	175	113	138	52	218
0.50  9.00 |	844	150	175	112	138	51	218
0.51  9.00 |	826	148	173	106	134	51	214
0.52  9.00 |	826	148	173	106	134	51	214
0.53  9.00 |	804	144	169	104	132	49	206
0.54  9.00 |	794	143	167	101	131	49	203
0.55  9.00 |	787	142	163	101	131	49	201
0.56  9.00 |	777	142	161	99	128	48	199
0.57  9.00 |	744	139	153	95	122	45	190
0.58  9.00 |	741	139	152	93	122	45	190
0.59  9.00 |	741	139	152	93	122	45	190
0.60  9.00 |	729	137	149	91	122	44	186
0.61  9.00 |	725	137	147	90	122	44	185
0.62  9.00 |	725	137	147	90	122	44	185
0.63  9.00 |	691	131	136	87	118	41	178
0.64  9.00 |	678	130	133	83	115	41	176
0.65  9.00 |	653	129	127	78	111	38	170
0.66  9.00 |	640	126	124	77	108	36	169
0.67  9.00 |	626	121	119	75	108	36	167
0.68  9.00 |	588	116	114	70	104	32	152
0.69  9.00 |	567	113	109	67	102	32	144
0.70  9.00 |	567	113	109	67	102	32	144
0.71  9.00 |	547	109	105	64	101	31	137
0.72  9.00 |	527	106	99	63	97	31	131
0.73  9.00 |	520	104	98	63	96	30	129
0.74  9.00 |	499	99	95	62	92	28	123
0.75  9.00 |	493	98	93	61	90	28	123
0.76  9.00 |	479	96	91	59	88	28	117
0.77  9.00 |	451	89	86	55	84	26	111
0.78  9.00 |	448	89	86	55	82	26	110
0.79  9.00 |	448	89	86	55	82	26	110
0.80  9.00 |	423	86	78	53	77	26	103
0.81  9.00 |	420	86	78	52	77	26	101
0.82  9.00 |	407	84	77	48	75	23	100
0.83  9.00 |	392	81	74	46	72	23	96
0.84  9.00 |	380	78	73	44	70	21	94
0.85  9.00 |	365	76	70	42	67	19	91
0.86  9.00 |	346	74	65	42	65	19	81
0.87  9.00 |	332	71	63	40	63	18	77
