0.00  9.00 |	0.21	297.66	1403	20356	1671	1285	2254
0.01  9.00 |	0.21	299.38	1403	20344	1666	1271	2235
0.02  9.00 |	0.21	299.82	1402	20343	1661	1268	2225
0.03  9.00 |	0.22	302.16	1401	20335	1650	1248	2197
0.04  9.00 |	0.22	306.54	1400	20313	1635	1228	2131
0.05  9.00 |	0.22	311.76	1396	20256	1607	1185	2063
0.06  9.00 |	0.23	313	1389	20209	1586	1169	2020
0.07  9.00 |	0.23	318.5	1381	20130	1559	1129	1919
0.08  9.00 |	0.23	320.83	1377	20077	1544	1113	1876
0.09  9.00 |	0.24	325.29	1377	20036	1519	1099	1834
0.10  9.00 |	0.24	326.76	1375	20004	1511	1089	1811
0.11  9.00 |	0.24	331.83	1369	19918	1480	1042	1757
0.12  9.00 |	0.24	333.83	1368	19890	1472	1032	1734
0.13  9.00 |	0.25	335.33	1362	19841	1455	1017	1698
0.14  9.00 |	0.25	339.06	1359	19782	1431	998	1659
0.15  9.00 |	0.25	342.1	1355	19719	1414	971	1627
0.16  9.00 |	0.26	347.88	1342	19572	1368	923	1544
0.17  9.00 |	0.26	350.7	1340	19535	1357	908	1515
0.18  9.00 |	0.27	355.42	1336	19481	1339	872	1475
0.19  9.00 |	0.27	357.37	1335	19416	1333	862	1457
0.20  9.00 |	0.27	358.32	1333	19389	1329	853	1444
0.21  9.00 |	0.27	359.75	1330	19342	1317	843	1427
0.22  9.00 |	0.27	360.4	1327	19299	1315	836	1408
0.23  9.00 |	0.27	361.23	1315	19211	1286	820	1366
0.24  9.00 |	0.28	360.81	1309	19165	1275	810	1355
0.25  9.00 |	0.28	365.98	1290	18906	1235	737	1285
0.26  9.00 |	0.28	365.23	1285	18876	1228	732	1276
0.27  9.00 |	0.29	367.43	1283	18822	1219	720	1258
0.28  9.00 |	0.29	368.75	1283	18784	1217	714	1250
0.29  9.00 |	0.29	368.64	1273	18689	1204	699	1220
0.30  9.00 |	0.29	368.64	1273	18689	1204	699	1220
0.31  9.00 |	0.29	367.86	1266	18641	1196	685	1210
0.32  9.00 |	0.30	369.12	1250	18476	1165	658	1160
0.33  9.00 |	0.30	368.4	1239	18385	1151	646	1131
0.34  9.00 |	0.30	368.32	1235	18331	1143	638	1125
0.35  9.00 |	0.30	368.13	1226	18236	1129	626	1102
0.36  9.00 |	0.30	368.74	1216	18110	1111	604	1079
0.37  9.00 |	0.30	366.93	1208	18045	1105	593	1071
0.38  9.00 |	0.31	371.25	1196	17832	1082	555	1020
0.39  9.00 |	0.31	369.99	1189	17756	1075	551	1006
0.40  9.00 |	0.31	370.1	1187	17723	1071	549	1000
0.41  9.00 |	0.31	369.75	1183	17682	1068	543	991
0.42  9.00 |	0.32	373.23	1181	17553	1050	536	970
0.43  9.00 |	0.32	370.04	1169	17433	1045	530	949
0.44  9.00 |	0.32	373.99	1155	17217	1016	491	905
0.45  9.00 |	0.33	374.89	1144	17055	996	472	879
0.46  9.00 |	0.33	374.88	1143	17026	995	471	876
0.47  9.00 |	0.33	375.49	1139	16956	986	467	863
0.48  9.00 |	0.33	375.25	1136	16901	981	465	857
0.49  9.00 |	0.33	376	1132	16823	975	455	846
0.50  9.00 |	0.33	375.45	1130	16792	974	453	844
0.51  9.00 |	0.34	376.46	1123	16632	960	441	826
0.52  9.00 |	0.34	376.68	1123	16620	959	440	826
0.53  9.00 |	0.34	377.1	1113	16477	944	424	804
0.54  9.00 |	0.34	376.96	1106	16403	929	416	794
0.55  9.00 |	0.34	376.54	1103	16373	929	412	787
0.56  9.00 |	0.34	374.58	1095	16232	921	408	777
0.57  9.00 |	0.35	368.8	1067	15896	895	381	744
0.58  9.00 |	0.35	370	1067	15874	892	377	741
0.59  9.00 |	0.35	370	1067	15874	892	377	741
0.60  9.00 |	0.35	368.79	1059	15781	884	369	729
0.61  9.00 |	0.35	369.83	1057	15722	880	359	725
0.62  9.00 |	0.35	369.95	1057	15706	879	359	725
0.63  9.00 |	0.35	362.5	1023	15285	846	327	691
0.64  9.00 |	0.36	361.66	1014	15136	831	320	678
0.65  9.00 |	0.36	357.85	994	14763	807	307	653
0.66  9.00 |	0.36	359.14	990	14663	798	301	640
0.67  9.00 |	0.37	359.55	984	14476	785	298	626
0.68  9.00 |	0.37	351.64	946	13906	739	272	588
0.69  9.00 |	0.38	347.3	926	13535	721	255	567
0.70  9.00 |	0.38	347.3	926	13529	721	255	567
0.71  9.00 |	0.38	344.13	905	13232	692	236	547
0.72  9.00 |	0.38	338.29	884	12976	677	222	527
0.73  9.00 |	0.38	331.5	869	12802	669	220	520
0.74  9.00 |	0.38	322.88	843	12506	654	205	499
0.75  9.00 |	0.39	320.33	832	12339	642	194	493
0.76  9.00 |	0.39	319.82	824	12164	632	188	479
0.77  9.00 |	0.40	317.31	801	11766	605	165	451
0.78  9.00 |	0.40	315.23	796	11717	603	163	448
0.79  9.00 |	0.40	313.48	792	11689	600	161	448
0.80  9.00 |	0.40	309.44	772	11361	582	149	423
0.81  9.00 |	0.40	307.2	766	11291	576	148	420
0.82  9.00 |	0.40	304.35	753	11083	561	142	407
0.83  9.00 |	0.41	307.06	749	10909	551	135	392
0.84  9.00 |	0.41	303.3	736	10712	540	130	380
0.85  9.00 |	0.41	297.1	719	10429	534	122	365
0.86  9.00 |	0.41	286.43	691	10078	518	112	346
0.87  9.00 |	0.41	275.22	664	9670	499	107	332
0.88  9.00 |	0.42	271.08	653	9503	492	101	327
0.89  9.00 |	0.42	268.19	637	9158	471	90	315
0.90  9.00 |	0.42	252.03	594	8704	443	72	291
0.91  9.00 |	0.43	226.29	531	7969	404	56	255
0.92  9.00 |	0.43	214.47	502	7560	378	50	245
0.93  9.00 |	0.43	210.38	494	7491	373	50	243
0.94  9.00 |	0.43	196.6	455	6882	339	44	215
0.95  9.00 |	0.43	184.48	428	6555	320	43	202
0.96  9.00 |	0.45	170.62	377	5566	263	35	158
0.97  9.00 |	0.46	144.51	316	4721	224	23	128
0.98  9.00 |	0.48	115.28	242	3549	159	15	92
0.99  9.00 |	0.47	72.75	154	2426	106	7	59

0.00  2.00 |	0.27	350.74	1306	19114	1287	856	1414
0.01  2.00 |	0.27	353.5	1306	19102	1282	842	1395
0.02  2.00 |	0.27	353.5	1306	19102	1282	842	1395
0.03  2.00 |	0.27	353.5	1306	19102	1282	842	1395
0.04  2.00 |	0.27	353.5	1306	19102	1282	842	1395
0.05  2.00 |	0.27	354.31	1306	19098	1281	833	1394
0.06  2.00 |	0.27	354.31	1306	19098	1281	833	1394
0.07  2.00 |	0.27	354.45	1306	19098	1281	833	1392
0.08  2.00 |	0.27	354.45	1306	19098	1281	833	1392
0.09  2.00 |	0.27	354.45	1306	19098	1281	833	1392
0.10  2.00 |	0.27	354.45	1306	19098	1281	833	1392
0.11  2.00 |	0.27	354.45	1306	19097	1281	833	1392
0.12  2.00 |	0.27	354.75	1306	19094	1281	829	1392
0.13  2.00 |	0.27	354.75	1306	19094	1281	829	1392
0.14  2.00 |	0.27	356.36	1305	19086	1276	814	1384
0.15  2.00 |	0.27	356.88	1305	19079	1275	809	1383
