0.00  3.00 |	0.21	18.84	1665	24391	1994	1529	2623
0.05  3.00 |	0.22	19.2	1645	24242	1902	1423	2372
0.10  3.00 |	0.24	19.74	1622	23903	1788	1262	2080
0.15  3.00 |	0.25	20.14	1592	23509	1666	1138	1854
0.20  3.00 |	0.27	20.5	1569	23166	1584	1012	1692
0.25  3.00 |	0.28	20.75	1524	22603	1481	870	1517
0.30  3.00 |	0.29	20.81	1500	22283	1435	826	1435
0.35  3.00 |	0.30	20.85	1449	21750	1358	729	1294
0.40  3.00 |	0.31	20.89	1413	21259	1304	664	1192
0.45  3.00 |	0.32	20.98	1367	20504	1227	579	1071
0.50  3.00 |	0.33	21.11	1348	20093	1188	534	1007
0.55  3.00 |	0.34	21.2	1317	19535	1129	491	924
0.60  3.00 |	0.35	20.98	1261	18809	1070	429	851
0.65  3.00 |	0.36	20.71	1188	17592	981	362	761
0.70  3.00 |	0.38	20.2	1085	16004	859	286	656
0.75  3.00 |	0.39	19.54	989	14677	773	227	573
0.80  3.00 |	0.40	19.02	905	13368	690	177	492
0.85  3.00 |	0.41	18.34	821	12099	626	138	419
0.90  3.00 |	0.43	16.91	667	9881	486	75	327
0.95  3.00 |	0.45	14.34	456	6713	316	40	199

0.00  2.50 |	0.21	18.89	1664	24366	1992	1523	2580
0.05  2.50 |	0.22	19.22	1645	24228	1901	1419	2363
0.10  2.50 |	0.24	19.75	1622	23889	1787	1259	2074
0.15  2.50 |	0.26	20.15	1592	23496	1666	1135	1850
0.20  2.50 |	0.27	20.51	1569	23155	1584	1009	1688
0.25  2.50 |	0.28	20.77	1524	22594	1481	867	1513
0.30  2.50 |	0.29	20.81	1500	22278	1435	826	1434
0.35  2.50 |	0.30	20.85	1449	21746	1358	729	1293
0.40  2.50 |	0.31	20.9	1413	21255	1304	664	1191
0.45  2.50 |	0.32	20.99	1367	20503	1227	579	1070
0.50  2.50 |	0.33	21.11	1348	20092	1188	534	1006
0.55  2.50 |	0.34	21.2	1317	19535	1129	491	924
0.60  2.50 |	0.35	20.98	1261	18809	1070	429	851
0.65  2.50 |	0.36	20.71	1188	17592	981	362	761
0.70  2.50 |	0.38	20.2	1085	16004	859	286	656
0.75  2.50 |	0.39	19.54	989	14677	773	227	573
0.80  2.50 |	0.40	19.02	905	13368	690	177	492
0.85  2.50 |	0.41	18.34	821	12099	626	138	419
0.90  2.50 |	0.43	16.91	667	9881	486	75	327
0.95  2.50 |	0.45	14.34	456	6713	316	40	199

0.00  2.00 |	0.22	18.9	1655	24263	1972	1507	2530
0.05  2.00 |	0.23	19.23	1637	24128	1884	1406	2322
0.10  2.00 |	0.24	19.75	1614	23792	1774	1248	2040
0.15  2.00 |	0.26	20.14	1584	23407	1655	1126	1823
0.20  2.00 |	0.27	20.52	1566	23086	1576	1007	1674
0.25  2.00 |	0.28	20.76	1521	22537	1475	867	1503
0.30  2.00 |	0.29	20.81	1498	22234	1430	826	1429
0.35  2.00 |	0.30	20.85	1447	21706	1354	729	1288
0.40  2.00 |	0.31	20.91	1412	21219	1300	664	1186
0.45  2.00 |	0.32	20.98	1366	20494	1224	579	1070
0.50  2.00 |	0.33	21.1	1347	20084	1187	534	1006
0.55  2.00 |	0.34	21.18	1316	19527	1128	491	924
0.60  2.00 |	0.35	20.99	1261	18806	1069	429	851
0.65  2.00 |	0.36	20.71	1188	17589	980	362	761
0.70  2.00 |	0.38	20.2	1085	16002	858	286	656
0.75  2.00 |	0.39	19.54	989	14675	772	227	573
0.80  2.00 |	0.40	19.02	905	13366	689	177	492
0.85  2.00 |	0.41	18.34	821	12097	625	138	419
0.90  2.00 |	0.43	16.92	667	9879	485	75	327
0.95  2.00 |	0.45	14.35	456	6711	315	40	199

0.00  1.50 |	0.22	18.89	1593	23485	1838	1411	2272
0.05  1.50 |	0.23	19.21	1576	23361	1754	1315	2085
0.10  1.50 |	0.25	19.65	1556	23081	1660	1176	1877
0.15  1.50 |	0.26	20.04	1531	22732	1555	1065	1688
0.20  1.50 |	0.27	20.39	1515	22440	1488	957	1562
0.25  1.50 |	0.29	20.65	1470	21896	1387	817	1392
0.30  1.50 |	0.30	20.68	1448	21606	1346	781	1326
0.35  1.50 |	0.31	20.75	1400	21100	1274	685	1192
0.40  1.50 |	0.32	20.83	1368	20654	1227	622	1097
0.45  1.50 |	0.33	20.88	1323	19960	1158	541	993
0.50  1.50 |	0.34	21	1309	19609	1129	503	944
0.55  1.50 |	0.34	21.06	1287	19157	1093	471	885
0.60  1.50 |	0.35	20.92	1240	18496	1043	412	820
0.65  1.50 |	0.36	20.65	1172	17349	962	350	738
0.70  1.50 |	0.38	20.09	1072	15881	853	277	644
0.75  1.50 |	0.39	19.48	983	14643	771	225	568
0.80  1.50 |	0.40	18.97	901	13360	688	176	490
0.85  1.50 |	0.41	18.3	818	12092	625	138	418
0.90  1.50 |	0.43	16.88	665	9874	485	75	327
0.95  1.50 |	0.45	14.35	456	6709	315	40	199

0.00  1.00 |	0.24	18.35	1394	20329	1480	1155	1740
0.05  1.00 |	0.26	18.76	1377	20206	1396	1059	1554
0.10  1.00 |	0.28	19.33	1357	19928	1302	921	1347
0.15  1.00 |	0.29	19.6	1341	19739	1251	847	1244
0.20  1.00 |	0.30	20	1328	19486	1191	754	1135
0.25  1.00 |	0.32	20.28	1303	19173	1135	643	1049
0.30  1.00 |	0.32	20.29	1286	18983	1109	616	1006
0.35  1.00 |	0.32	20.28	1266	18811	1090	575	967
0.40  1.00 |	0.33	20.31	1240	18479	1060	524	903
0.45  1.00 |	0.34	20.35	1225	18256	1040	486	872
0.50  1.00 |	0.34	20.42	1218	18057	1027	466	848
0.55  1.00 |	0.35	20.43	1201	17727	1000	445	810
0.60  1.00 |	0.36	20.4	1169	17226	963	394	757
0.65  1.00 |	0.37	20.13	1103	16145	888	334	677
0.70  1.00 |	0.38	19.59	1008	14737	785	265	589
0.75  1.00 |	0.39	18.98	922	13569	707	215	517
0.80  1.00 |	0.41	18.45	840	12298	626	166	441
0.85  1.00 |	0.42	17.76	758	11069	564	128	371
0.90  1.00 |	0.44	16.34	610	8929	431	66	286
0.95  1.00 |	0.45	14.29	453	6686	314	40	198

0.00  0.50 |	0.31	16.6	880	12725	750	489	691
0.05  0.50 |	0.33	16.9	875	12697	722	445	638
0.10  0.50 |	0.34	17.12	869	12643	704	409	595
0.15  0.50 |	0.34	17.27	865	12607	691	379	573
0.20  0.50 |	0.35	17.41	858	12529	672	350	550
0.25  0.50 |	0.36	17.54	848	12440	658	302	530
0.30  0.50 |	0.37	17.59	841	12371	646	281	518
0.35  0.50 |	0.37	17.59	835	12314	642	263	514
0.40  0.50 |	0.37	17.54	825	12218	633	252	503
0.45  0.50 |	0.38	17.56	817	12140	623	234	491
0.50  0.50 |	0.38	17.55	813	12067	623	228	483
0.55  0.50 |	0.38	17.61	811	11944	612	225	472
0.60  0.50 |	0.39	17.62	795	11708	597	196	448
0.65  0.50 |	0.39	17.56	783	11518	584	188	434
0.70  0.50 |	0.40	17.27	741	10891	543	161	395
0.75  0.50 |	0.41	16.69	680	10091	501	128	350
0.80  0.50 |	0.42	16.42	642	9457	467	107	313
0.85  0.50 |	0.43	16.05	596	8722	427	84	272
0.90  0.50 |	0.46	15.37	515	7383	350	41	216
0.95  0.50 |	0.46	14.2	435	6303	288	33	182

