0   1	|	22	0.69	0.38	32	1.00	0.00
0   2	|	169	0.69	0.36	244	1.00	0.00
0   3	|	25	0.69	0.44	13	0.36	0.64
0   4	|	61	0.75	0.30	63	0.78	0.22
0   5	|	40	0.67	0.40	60	1.00	0.00
0   7	|	19	0.50	0.58	9	0.24	1.05
0   8	|	16	0.76	0.29	3	0.14	1.24
0   9	|	7	0.12	1.39	57	1.00	0.00
0   10	|	70	0.63	0.53	112	1.00	0.00
0   12	|	4	0.12	1.42	6	0.18	0.82
0   13	|	41	0.39	0.93	43	0.41	0.59
0   15	|	18	0.56	0.75	17	0.53	0.47
0   17	|	1	0.50	1.50	0	0.00	2.00
0   22	|	2	0.06	2.68	31	1.00	0.00
0   23	|	13	0.42	1.65	31	1.00	0.00
0   24	|	1	0.17	2.50	6	1.00	0.00
0   30	|	1	0.11	2.22	4	0.44	0.56
0   32	|	5	0.83	0.33	1	0.17	0.83
0   33	|	4	0.67	0.50	4	0.67	0.33
0   34	|	3	0.21	1.14	0	0.00	1.50
0   35	|	15	0.75	0.30	8	0.40	0.90
0   36	|	4	0.19	1.38	21	1.00	0.00
0   37	|	55	0.63	0.53	87	1.00	0.00
0   40	|	8	0.16	1.60	25	0.50	0.50
0   41	|	4	0.05	2.01	26	0.32	0.68
0   43	|	1	0.50	1.00	0	0.00	1.00
0   52	|	3	0.33	1.89	9	1.00	0.00
0   53	|	2	0.20	2.10	2	0.20	0.80

1   1	|	44	1.00	0.00	44	1.00	0.00
1   2	|	319	1.00	0.00	319	1.00	0.00
1   3	|	59	0.91	0.11	27	0.42	0.58
1   4	|	110	1.00	0.00	93	0.85	0.15
1   5	|	88	0.91	0.11	97	1.00	0.00
1   6	|	1	0.50	0.50	2	1.00	0.00
1   7	|	67	0.86	0.18	16	0.21	1.18
1   8	|	25	0.89	0.14	6	0.21	1.11
1   9	|	22	0.23	0.91	94	1.00	0.00
1   10	|	154	0.89	0.16	173	1.00	0.00
1   12	|	23	0.37	1.06	16	0.25	0.75
1   13	|	103	0.59	0.68	72	0.41	0.59
1   14	|	2	0.25	1.75	0	0.00	1.00
1   15	|	56	0.73	0.35	44	0.57	0.43
1   16	|	1	1.00	0.00	1	1.00	0.00
1   17	|	1	1.00	0.00	0	0.00	2.00
1   18	|	1	0.20	2.00	4	0.80	0.20
1   23	|	22	0.42	1.65	52	1.00	0.00
1   28	|	8	0.50	1.13	16	1.00	0.00
1   29	|	1	0.50	2.50	2	1.00	0.00
1   30	|	4	0.44	1.44	4	0.44	0.56
1   32	|	6	0.55	0.64	6	0.55	0.45
1   33	|	12	0.86	0.21	6	0.43	0.57
1   34	|	16	0.62	0.50	4	0.15	1.27
1   35	|	32	0.89	0.19	10	0.28	1.08
1   36	|	4	0.13	1.28	32	1.00	0.00
1   37	|	95	0.87	0.23	109	1.00	0.00
1   40	|	22	0.24	1.15	42	0.46	0.54
1   41	|	30	0.25	1.34	36	0.30	0.70
1   43	|	2	0.40	1.00	0	0.00	1.00
1   52	|	13	0.57	1.04	23	1.00	0.00
1   53	|	3	0.21	2.14	6	0.43	0.57

10   1	|	1067	1.00	0.00	1069	1.00	0.00
10   2	|	106	1.00	0.00	106	1.00	0.00
10   3	|	1882	0.98	0.02	1380	0.72	0.28
10   4	|	70	0.97	0.06	33	0.46	0.54
10   5	|	24	0.77	0.52	31	1.00	0.00
10   6	|	50	0.98	0.04	51	1.00	0.00
10   7	|	748	0.94	0.07	340	0.43	0.76
10   8	|	39	0.95	0.07	18	0.44	0.83
10   9	|	563	0.89	0.17	636	1.00	0.00
10   10	|	18	0.69	0.35	26	1.00	0.00
10   11	|	59	0.98	0.03	60	1.00	0.00
10   12	|	478	0.82	0.30	373	0.64	0.36
10   13	|	133	0.55	0.78	81	0.33	0.67
10   14	|	124	0.83	0.29	50	0.33	0.67
10   15	|	45	0.56	0.78	21	0.26	0.74
10   16	|	11	0.92	0.17	7	0.58	0.42
10   17	|	8	1.00	0.00	3	0.38	0.75
10   18	|	18	0.64	1.07	18	0.64	0.36
10   22	|	97	0.38	1.54	255	1.00	0.00
10   23	|	47	0.17	2.16	274	1.00	0.00
10   24	|	53	0.42	1.19	125	1.00	0.00
10   28	|	4	0.31	1.38	13	1.00	0.00
10   29	|	1	1.00	0.00	1	1.00	0.00
10   30	|	8	0.27	2.00	6	0.20	0.80
10   32	|	182	0.97	0.03	109	0.58	0.42
10   33	|	25	0.89	0.14	18	0.64	0.36
10   34	|	571	0.94	0.07	262	0.43	0.72
10   35	|	68	0.83	0.24	23	0.28	0.99
10   36	|	352	0.79	0.30	448	1.00	0.00
10   37	|	120	0.72	0.52	167	1.00	0.00
10   38	|	50	0.93	0.11	54	1.00	0.00
10   39	|	38	0.83	0.33	46	1.00	0.00
10   40	|	293	0.69	0.47	212	0.50	0.50
10   41	|	943	0.73	0.44	669	0.52	0.48
10   42	|	147	0.59	0.80	94	0.38	0.62
10   43	|	64	0.63	0.66	36	0.36	0.64
10   44	|	32	0.94	0.12	17	0.50	0.50
10   48	|	63	0.29	1.74	215	1.00	0.00
10   49	|	7	0.27	1.88	26	1.00	0.00
10   50	|	2	0.17	2.33	12	1.00	0.00
10   52	|	18	0.21	1.71	85	1.00	0.00
10   53	|	27	0.16	2.17	36	0.21	0.79

11   1	|	1932	1.00	0.01	1745	0.90	0.10
11   2	|	162	0.99	0.01	140	0.86	0.14
11   3	|	3487	0.97	0.04	2185	0.61	0.48
11   4	|	83	0.91	0.11	37	0.41	0.77
11   5	|	48	0.74	0.43	34	0.52	0.48
11   6	|	90	0.99	0.02	76	0.84	0.16
11   7	|	1567	0.92	0.11	530	0.31	1.13
11   8	|	45	0.87	0.19	9	0.17	1.44
11   9	|	1174	0.85	0.23	1105	0.80	0.20
11   10	|	22	0.54	0.80	20	0.49	0.51
11   11	|	110	0.99	0.01	98	0.88	0.12
11   12	|	930	0.76	0.43	566	0.46	0.72
11   13	|	240	0.48	1.02	57	0.11	1.29
11   14	|	219	0.76	0.51	82	0.28	0.99
11   15	|	129	0.52	1.04	25	0.10	1.30
11   16	|	16	0.94	0.12	8	0.47	0.76
11   17	|	13	0.93	0.36	2	0.14	1.50
11   18	|	40	0.51	1.24	22	0.28	1.06
