0   1	|	0	10	2	0	2	0.00
0   2	|	7	81	3	0	2	0.58
0   3	|	1	7	1	0	0	0.50
0   4	|	2	29	3	1	2	0.25
0   5	|	0	17	0	0	0	 - 
0   6	|	0	0	0	1	0	0.00
0   7	|	0	9	1	0	3	0.00
0   8	|	0	4	0	0	1	0.00
0   9	|	1	2	2	8	1	0.08
0   10	|	0	26	3	0	0	0.00
0   12	|	0	3	0	2	0	0.00
0   13	|	1	17	3	0	7	0.09
0   14	|	0	0	0	0	1	0.00
0   15	|	0	9	0	2	0	0.00
0   22	|	0	2	0	2	0	0.00
0   23	|	0	3	0	1	0	0.00
0   24	|	0	0	0	1	0	0.00
0   28	|	0	1	0	0	0	 - 
0   30	|	0	1	0	0	0	 - 
0   32	|	0	0	1	0	0	0.00
0   33	|	0	2	0	0	1	0.00
0   34	|	0	2	0	0	1	0.00
0   35	|	0	5	0	0	0	 - 
0   36	|	0	1	0	2	0	0.00
0   37	|	1	23	0	0	1	0.50
0   40	|	0	4	1	4	1	0.00
0   41	|	0	4	1	9	1	0.00
0   52	|	0	2	0	0	0	 - 

1   1	|	3	7	1	0	1	0.60
1   2	|	4	111	7	0	2	0.31
1   3	|	2	18	1	2	0	0.40
1   4	|	3	37	1	0	0	0.75
1   5	|	0	27	0	2	0	0.00
1   7	|	1	15	0	1	2	0.25
1   8	|	0	8	1	0	2	0.00
1   9	|	0	10	2	23	1	0.00
1   10	|	5	54	2	2	4	0.38
1   12	|	0	10	2	1	4	0.00
1   13	|	1	28	3	7	2	0.08
1   14	|	0	0	1	0	0	0.00
1   15	|	1	17	0	0	2	0.33
1   16	|	0	1	0	0	0	 - 
1   17	|	0	0	1	0	0	0.00
1   22	|	0	0	1	7	0	0.00
1   23	|	0	6	1	1	0	0.00
1   28	|	0	2	0	0	1	0.00
1   30	|	0	1	0	0	0	 - 
1   32	|	0	2	0	0	1	0.00
1   33	|	0	3	0	0	0	 - 
1   34	|	1	1	1	0	0	0.50
1   35	|	0	4	0	0	0	 - 
1   36	|	0	2	1	5	3	0.00
1   37	|	4	33	1	1	2	0.50
1   40	|	1	6	5	7	4	0.06
1   41	|	0	9	1	4	6	0.00
1   43	|	0	1	0	0	1	0.00
1   52	|	1	2	1	0	0	0.50
1   53	|	0	1	0	2	1	0.00

10   1	|	20	281	9	0	10	0.51
10   2	|	3	30	0	0	0	1.00
10   3	|	37	499	30	6	19	0.40
10   4	|	1	20	0	0	1	0.50
10   5	|	2	5	1	0	0	0.67
10   6	|	2	12	1	0	0	0.67
10   7	|	14	200	10	1	8	0.42
10   8	|	0	9	0	0	0	 - 
10   9	|	5	153	9	8	6	0.18
10   10	|	0	7	0	1	0	0.00
10   11	|	1	14	0	0	1	0.50
10   12	|	4	127	9	6	6	0.16
10   13	|	3	29	0	4	7	0.21
10   14	|	0	20	0	0	3	0.00
10   15	|	0	6	0	0	0	 - 
10   16	|	0	4	0	1	0	0.00
10   17	|	0	3	1	0	0	0.00
10   18	|	0	7	0	0	0	 - 
10   22	|	3	21	2	8	3	0.19
10   23	|	1	6	2	12	5	0.05
10   24	|	2	8	2	1	0	0.40
10   28	|	1	2	0	1	0	0.50
10   30	|	0	3	0	0	2	0.00
10   32	|	3	45	0	0	2	0.60
10   33	|	0	7	2	0	1	0.00
10   34	|	9	158	6	1	11	0.33
10   35	|	1	17	0	0	1	0.50
10   36	|	4	84	3	6	5	0.22
10   37	|	2	22	0	2	3	0.29
10   38	|	0	15	0	0	0	 - 
10   39	|	0	13	1	0	1	0.00
10   40	|	3	74	3	3	5	0.21
10   41	|	19	234	9	13	17	0.33
10   42	|	4	26	3	1	4	0.33
10   43	|	1	9	3	1	0	0.20
10   44	|	1	6	0	0	1	0.50
10   48	|	0	18	6	7	1	0.00
10   49	|	1	1	0	1	0	0.50
10   52	|	0	4	0	6	3	0.00
10   53	|	0	4	2	3	6	0.00

11   1	|	30	525	27	0	10	0.45
11   2	|	2	50	6	1	2	0.18
11   3	|	50	823	38	6	23	0.43
11   4	|	3	19	2	0	1	0.50
11   5	|	0	10	0	0	0	 - 
11   6	|	0	26	2	0	0	0.00
11   7	|	21	380	19	4	19	0.33
11   8	|	1	11	0	0	1	0.50
11   9	|	25	302	12	9	15	0.41
11   10	|	1	4	0	2	0	0.33
11   11	|	3	25	0	0	0	1.00
11   12	|	8	224	10	9	10	0.22
11   13	|	2	44	4	5	4	0.13
11   14	|	4	43	1	2	4	0.36
11   15	|	1	31	3	4	4	0.08
11   16	|	0	5	0	0	1	0.00
11   17	|	1	3	0	0	0	1.00
11   18	|	0	11	0	0	2	0.00
11   22	|	4	65	10	19	12	0.09
11   23	|	1	24	6	13	10	0.03
11   24	|	3	19	1	6	5	0.20
11   28	|	0	3	0	1	0	0.00
11   29	|	0	0	0	1	0	0.00
11   30	|	0	5	1	0	1	0.00
11   32	|	5	71	2	3	7	0.29
11   33	|	1	7	0	0	0	1.00
11   34	|	17	283	16	3	15	0.33
11   35	|	2	19	0	1	3	0.33
11   36	|	12	156	8	10	9	0.31
11   37	|	3	37	4	4	6	0.18
11   38	|	0	30	0	1	0	0.00
11   39	|	1	6	1	0	0	0.50
11   40	|	7	139	11	7	9	0.21
11   41	|	33	498	39	24	33	0.26
11   42	|	4	59	6	6	17	0.12
11   43	|	2	39	2	3	4	0.18
11   44	|	0	25	0	0	3	0.00
11   48	|	5	37	7	18	10	0.13
11   49	|	0	2	1	3	2	0.00
11   50	|	0	1	0	1	0	0.00
