
tanB/mH		     R(D)		     R(D*)

0.000		0.440 +- 0.072 		0.332 +- 0.030
0.001		0.440 +- 0.072 		0.332 +- 0.030
0.002		0.440 +- 0.072 		0.332 +- 0.030
0.003		0.440 +- 0.072 		0.332 +- 0.030
0.004		0.440 +- 0.072 		0.332 +- 0.030
0.005		0.440 +- 0.072 		0.332 +- 0.030
0.006		0.440 +- 0.072 		0.332 +- 0.030
0.007		0.440 +- 0.072 		0.332 +- 0.030
0.008		0.440 +- 0.072 		0.332 +- 0.030
0.009		0.440 +- 0.072 		0.332 +- 0.030
0.010		0.440 +- 0.072 		0.332 +- 0.030
0.011		0.440 +- 0.072 		0.332 +- 0.030
0.012		0.440 +- 0.072 		0.332 +- 0.030
0.013		0.440 +- 0.072 		0.332 +- 0.030
0.014		0.440 +- 0.072 		0.332 +- 0.030
0.015		0.441 +- 0.072 		0.332 +- 0.030
0.016		0.441 +- 0.072 		0.332 +- 0.030
0.017		0.441 +- 0.072 		0.332 +- 0.030
0.018		0.441 +- 0.072 		0.332 +- 0.030
0.019		0.441 +- 0.072 		0.332 +- 0.030
0.020		0.441 +- 0.072 		0.332 +- 0.030
0.021		0.441 +- 0.072 		0.332 +- 0.030
0.022		0.441 +- 0.072 		0.332 +- 0.030
0.023		0.441 +- 0.072 		0.332 +- 0.030
0.024		0.441 +- 0.072 		0.332 +- 0.030
0.025		0.441 +- 0.072 		0.332 +- 0.030
0.026		0.441 +- 0.072 		0.332 +- 0.030
0.027		0.441 +- 0.072 		0.332 +- 0.030
0.028		0.441 +- 0.072 		0.332 +- 0.030
0.029		0.441 +- 0.072 		0.332 +- 0.030
0.030		0.441 +- 0.072 		0.332 +- 0.030
0.031		0.441 +- 0.072 		0.332 +- 0.030
0.032		0.441 +- 0.072 		0.332 +- 0.030
0.033		0.441 +- 0.072 		0.332 +- 0.030
0.034		0.441 +- 0.072 		0.332 +- 0.030
0.035		0.441 +- 0.072 		0.332 +- 0.030
0.036		0.441 +- 0.072 		0.332 +- 0.030
0.037		0.441 +- 0.072 		0.332 +- 0.030
0.038		0.441 +- 0.072 		0.332 +- 0.030
0.039		0.441 +- 0.072 		0.332 +- 0.030
0.040		0.442 +- 0.072 		0.332 +- 0.030
0.041		0.442 +- 0.072 		0.332 +- 0.030
0.042		0.442 +- 0.072 		0.332 +- 0.030
0.043		0.442 +- 0.072 		0.332 +- 0.030
0.044		0.442 +- 0.072 		0.332 +- 0.030
0.045		0.442 +- 0.072 		0.332 +- 0.030
0.046		0.442 +- 0.072 		0.332 +- 0.030
0.047		0.442 +- 0.072 		0.332 +- 0.030
0.048		0.442 +- 0.072 		0.332 +- 0.030
0.049		0.442 +- 0.072 		0.332 +- 0.030
0.050		0.442 +- 0.072 		0.332 +- 0.030
0.051		0.442 +- 0.072 		0.332 +- 0.030
0.052		0.442 +- 0.072 		0.332 +- 0.030
0.053		0.442 +- 0.072 		0.332 +- 0.030
0.054		0.442 +- 0.072 		0.332 +- 0.030
0.055		0.442 +- 0.072 		0.332 +- 0.030
0.056		0.443 +- 0.072 		0.332 +- 0.030
0.057		0.443 +- 0.072 		0.332 +- 0.030
0.058		0.443 +- 0.072 		0.332 +- 0.030
0.059		0.443 +- 0.072 		0.332 +- 0.030
0.060		0.443 +- 0.072 		0.332 +- 0.030
0.061		0.443 +- 0.072 		0.332 +- 0.030
0.062		0.443 +- 0.072 		0.332 +- 0.030
0.063		0.443 +- 0.072 		0.332 +- 0.030
0.064		0.443 +- 0.072 		0.332 +- 0.030
0.065		0.443 +- 0.072 		0.332 +- 0.030
0.066		0.443 +- 0.072 		0.332 +- 0.030
0.067		0.443 +- 0.072 		0.332 +- 0.030
0.068		0.443 +- 0.072 		0.332 +- 0.030
0.069		0.444 +- 0.072 		0.332 +- 0.030
0.070		0.444 +- 0.072 		0.332 +- 0.030
0.071		0.444 +- 0.072 		0.332 +- 0.030
0.072		0.444 +- 0.072 		0.332 +- 0.030
0.073		0.444 +- 0.072 		0.332 +- 0.030
0.074		0.444 +- 0.072 		0.332 +- 0.030
0.075		0.444 +- 0.072 		0.332 +- 0.030
0.076		0.444 +- 0.072 		0.332 +- 0.030
0.077		0.444 +- 0.072 		0.332 +- 0.030
0.078		0.444 +- 0.072 		0.332 +- 0.030
0.079		0.444 +- 0.072 		0.332 +- 0.030
0.080		0.445 +- 0.072 		0.332 +- 0.030
0.081		0.445 +- 0.072 		0.332 +- 0.030
0.082		0.445 +- 0.072 		0.332 +- 0.030
0.083		0.445 +- 0.072 		0.332 +- 0.030
0.084		0.445 +- 0.072 		0.332 +- 0.030
0.085		0.445 +- 0.072 		0.332 +- 0.030
0.086		0.445 +- 0.072 		0.332 +- 0.030
0.087		0.445 +- 0.072 		0.332 +- 0.030
0.088		0.445 +- 0.072 		0.332 +- 0.030
0.089		0.445 +- 0.072 		0.332 +- 0.030
0.090		0.446 +- 0.072 		0.332 +- 0.030
0.091		0.446 +- 0.072 		0.332 +- 0.030
0.092		0.446 +- 0.072 		0.332 +- 0.030
0.093		0.446 +- 0.072 		0.332 +- 0.030
0.094		0.446 +- 0.072 		0.332 +- 0.030
0.095		0.446 +- 0.072 		0.332 +- 0.030
0.096		0.446 +- 0.072 		0.332 +- 0.030
0.097		0.446 +- 0.072 		0.332 +- 0.030
0.098		0.447 +- 0.072 		0.332 +- 0.030
0.099		0.447 +- 0.072 		0.332 +- 0.030
0.100		0.447 +- 0.072 		0.332 +- 0.030
0.101		0.447 +- 0.072 		0.332 +- 0.030
0.102		0.447 +- 0.072 		0.332 +- 0.030
0.103		0.447 +- 0.072 		0.332 +- 0.030
0.104		0.447 +- 0.072 		0.332 +- 0.030
0.105		0.447 +- 0.072 		0.332 +- 0.030
0.106		0.448 +- 0.072 		0.332 +- 0.030
0.107		0.448 +- 0.072 		0.332 +- 0.030
0.108		0.448 +- 0.072 		0.332 +- 0.030
0.109		0.448 +- 0.072 		0.332 +- 0.030
0.110		0.448 +- 0.072 		0.332 +- 0.030
0.111		0.448 +- 0.072 		0.333 +- 0.030
0.112		0.448 +- 0.072 		0.333 +- 0.030
0.113		0.449 +- 0.072 		0.333 +- 0.030
0.114		0.449 +- 0.072 		0.333 +- 0.030
0.115		0.449 +- 0.072 		0.333 +- 0.030
0.116		0.449 +- 0.072 		0.333 +- 0.030
0.117		0.449 +- 0.072 		0.333 +- 0.030
0.118		0.449 +- 0.072 		0.333 +- 0.030
0.119		0.449 +- 0.072 		0.333 +- 0.030
0.120		0.450 +- 0.072 		0.333 +- 0.030
0.121		0.450 +- 0.072 		0.333 +- 0.030
0.122		0.450 +- 0.072 		0.333 +- 0.030
0.123		0.450 +- 0.072 		0.333 +- 0.030
0.124		0.450 +- 0.072 		0.333 +- 0.030
0.125		0.450 +- 0.072 		0.333 +- 0.030
0.126		0.450 +- 0.072 		0.333 +- 0.030
0.127		0.451 +- 0.072 		0.333 +- 0.030
0.128		0.451 +- 0.072 		0.333 +- 0.030
0.129		0.451 +- 0.072 		0.333 +- 0.030
0.130		0.451 +- 0.072 		0.333 +- 0.030
0.131		0.451 +- 0.072 		0.333 +- 0.030
0.132		0.451 +- 0.072 		0.333 +- 0.030
0.133		0.452 +- 0.072 		0.333 +- 0.030
0.134		0.452 +- 0.072 		0.333 +- 0.030
0.135		0.452 +- 0.072 		0.333 +- 0.030
0.136		0.452 +- 0.072 		0.333 +- 0.030
0.137		0.452 +- 0.072 		0.333 +- 0.030
0.138		0.452 +- 0.072 		0.333 +- 0.030
0.139		0.453 +- 0.072 		0.333 +- 0.030
0.140		0.453 +- 0.072 		0.333 +- 0.030
0.141		0.453 +- 0.072 		0.333 +- 0.030
0.142		0.453 +- 0.072 		0.333 +- 0.030
0.143		0.453 +- 0.072 		0.333 +- 0.030
0.144		0.453 +- 0.072 		0.333 +- 0.030
0.145		0.453 +- 0.072 		0.333 +- 0.030
0.146		0.454 +- 0.072 		0.333 +- 0.030
0.147		0.454 +- 0.072 		0.333 +- 0.030
0.148		0.454 +- 0.072 		0.333 +- 0.030
0.149		0.454 +- 0.072 		0.333 +- 0.030
0.150		0.454 +- 0.072 		0.334 +- 0.030
0.151		0.454 +- 0.072 		0.334 +- 0.030
0.152		0.455 +- 0.072 		0.334 +- 0.030
0.153		0.455 +- 0.072 		0.334 +- 0.030
0.154		0.455 +- 0.072 		0.334 +- 0.030
0.155		0.455 +- 0.072 		0.334 +- 0.030
0.156		0.455 +- 0.072 		0.334 +- 0.030
