0.00  9.00 |	0.46	640.34	1403	20356	1671	1285	2254
0.01  9.00 |	0.46	641.38	1403	20344	1666	1271	2235
0.02  9.00 |	0.46	641.73	1402	20343	1661	1268	2225
0.03  9.00 |	0.46	643.33	1401	20335	1650	1248	2197
0.04  9.00 |	0.46	645.8	1400	20313	1635	1228	2131
0.05  9.00 |	0.46	648.96	1396	20256	1607	1185	2063
0.06  9.00 |	0.47	648.51	1389	20209	1586	1169	2020
0.07  9.00 |	0.47	648.69	1381	20130	1559	1129	1919
0.08  9.00 |	0.47	649.14	1377	20077	1544	1113	1876
0.09  9.00 |	0.48	654.74	1377	20036	1519	1099	1834
0.10  9.00 |	0.48	655.1	1375	20004	1511	1089	1811
0.11  9.00 |	0.48	657.83	1369	19918	1480	1042	1757
0.12  9.00 |	0.48	658.95	1368	19890	1472	1032	1734
0.13  9.00 |	0.48	658.52	1362	19841	1455	1017	1698
0.14  9.00 |	0.49	661.96	1359	19782	1431	998	1659
0.15  9.00 |	0.49	663.06	1355	19719	1414	971	1627
0.16  9.00 |	0.50	664.56	1342	19572	1368	923	1544
0.17  9.00 |	0.50	665.78	1340	19535	1357	908	1515
0.18  9.00 |	0.50	667.25	1336	19481	1339	872	1475
0.19  9.00 |	0.50	668	1335	19416	1333	862	1457
0.20  9.00 |	0.50	667.5	1333	19389	1329	853	1444
0.21  9.00 |	0.50	668.27	1330	19342	1317	843	1427
0.22  9.00 |	0.50	666.51	1327	19299	1315	836	1408
0.23  9.00 |	0.51	664.83	1315	19211	1286	820	1366
0.24  9.00 |	0.51	663.11	1309	19165	1275	810	1355
0.25  9.00 |	0.51	659.05	1290	18906	1235	737	1285
0.26  9.00 |	0.51	657.07	1285	18876	1228	732	1276
0.27  9.00 |	0.51	657.91	1283	18822	1219	720	1258
0.28  9.00 |	0.51	658.44	1283	18784	1217	714	1250
0.29  9.00 |	0.51	654.23	1273	18689	1204	699	1220
0.30  9.00 |	0.51	654.23	1273	18689	1204	699	1220
0.31  9.00 |	0.51	651	1266	18641	1196	685	1210
0.32  9.00 |	0.52	647	1250	18476	1165	658	1160
0.33  9.00 |	0.52	642.31	1239	18385	1151	646	1131
0.34  9.00 |	0.52	641.39	1235	18331	1143	638	1125
0.35  9.00 |	0.52	638.25	1226	18236	1129	626	1102
0.36  9.00 |	0.52	635.43	1216	18110	1111	604	1079
0.37  9.00 |	0.52	630.9	1208	18045	1105	593	1071
0.38  9.00 |	0.53	627.93	1196	17832	1082	555	1020
0.39  9.00 |	0.53	624.44	1189	17756	1075	551	1006
0.40  9.00 |	0.53	623.99	1187	17723	1071	549	1000
0.41  9.00 |	0.53	621.72	1183	17682	1068	543	991
0.42  9.00 |	0.53	625.17	1181	17553	1050	536	970
0.43  9.00 |	0.53	617.24	1169	17433	1045	530	949
0.44  9.00 |	0.53	614.47	1155	17217	1016	491	905
0.45  9.00 |	0.53	611.56	1144	17055	996	472	879
0.46  9.00 |	0.53	611.06	1143	17026	995	471	876
0.47  9.00 |	0.54	610.5	1139	16956	986	467	863
0.48  9.00 |	0.54	609.59	1136	16901	981	465	857
0.49  9.00 |	0.54	608.17	1132	16823	975	455	846
0.50  9.00 |	0.54	606.89	1130	16792	974	453	844
0.51  9.00 |	0.54	605.44	1123	16632	960	441	826
0.52  9.00 |	0.54	605.73	1123	16620	959	440	826
0.53  9.00 |	0.54	602.22	1113	16477	944	424	804
0.54  9.00 |	0.54	601.1	1106	16403	929	416	794
0.55  9.00 |	0.54	598.72	1103	16373	929	412	787
0.56  9.00 |	0.54	594.75	1095	16232	921	408	777
0.57  9.00 |	0.54	580.27	1067	15896	895	381	744
0.58  9.00 |	0.54	581.16	1067	15874	892	377	741
0.59  9.00 |	0.54	581.16	1067	15874	892	377	741
0.60  9.00 |	0.55	577.19	1059	15781	884	369	729
0.61  9.00 |	0.55	576.79	1057	15722	880	359	725
0.62  9.00 |	0.55	577.09	1057	15706	879	359	725
0.63  9.00 |	0.55	559.94	1023	15285	846	327	691
0.64  9.00 |	0.55	557.29	1014	15136	831	320	678
0.65  9.00 |	0.55	548.6	994	14763	807	307	653
0.66  9.00 |	0.55	548.15	990	14663	798	301	640
0.67  9.00 |	0.56	547.35	984	14476	785	298	626
0.68  9.00 |	0.56	531.11	946	13906	739	272	588
0.69  9.00 |	0.56	520.63	926	13535	721	255	567
0.70  9.00 |	0.56	520.63	926	13529	721	255	567
0.71  9.00 |	0.57	512.85	905	13232	692	236	547
0.72  9.00 |	0.57	500.61	884	12976	677	222	527
0.73  9.00 |	0.57	491	869	12802	669	220	520
0.74  9.00 |	0.56	474.72	843	12506	654	205	499
0.75  9.00 |	0.56	469.62	832	12339	642	194	493
0.76  9.00 |	0.57	466.33	824	12164	632	188	479
0.77  9.00 |	0.57	456.33	801	11766	605	165	451
0.78  9.00 |	0.57	452.91	796	11717	603	163	448
0.79  9.00 |	0.57	450.62	792	11689	600	161	448
0.80  9.00 |	0.57	440.17	772	11361	582	149	423
0.81  9.00 |	0.57	437.23	766	11291	576	148	420
0.82  9.00 |	0.57	431.51	753	11083	561	142	407
0.83  9.00 |	0.58	431.54	749	10909	551	135	392
0.84  9.00 |	0.58	424.53	736	10712	540	130	380
0.85  9.00 |	0.57	412.58	719	10429	534	122	365
0.86  9.00 |	0.57	394.94	691	10078	518	112	346
0.87  9.00 |	0.57	379.1	664	9670	499	107	332
0.88  9.00 |	0.57	372.41	653	9503	492	101	327
0.89  9.00 |	0.57	366.22	637	9158	471	90	315
0.90  9.00 |	0.57	340.25	594	8704	443	72	291
0.91  9.00 |	0.57	301.56	531	7969	404	56	255
0.92  9.00 |	0.57	286.37	502	7560	378	50	245
0.93  9.00 |	0.57	281.47	494	7491	373	50	243
0.94  9.00 |	0.57	260.74	455	6882	339	44	215
0.95  9.00 |	0.57	244.9	428	6555	320	43	202
0.96  9.00 |	0.59	222.08	377	5566	263	35	158
0.97  9.00 |	0.59	184.92	316	4721	224	23	128
0.98  9.00 |	0.60	146.04	242	3549	159	15	92
0.99  9.00 |	0.59	91.22	154	2426	106	7	59

