0   1	|	0	20	3	0	9	0.00
0   2	|	8	168	16	0	20	0.18
0   3	|	1	19	7	0	13	0.05
0   4	|	3	53	7	2	5	0.18
0   5	|	0	35	4	1	9	0.00
0   6	|	0	0	0	1	0	0.00
0   7	|	0	21	6	0	20	0.00
0   8	|	0	8	2	1	9	0.00
0   9	|	1	8	7	18	17	0.02
0   10	|	1	73	11	5	11	0.04
0   12	|	0	10	5	7	15	0.00
0   13	|	2	44	14	9	44	0.03
0   14	|	0	2	0	0	5	0.00
0   15	|	0	14	5	3	15	0.00
0   16	|	0	0	0	1	0	0.00
0   17	|	0	0	1	0	0	0.00
0   22	|	0	3	4	6	36	0.00
0   23	|	0	8	0	6	21	0.00
0   24	|	0	0	0	2	5	0.00
0   28	|	0	1	0	1	3	0.00
0   29	|	0	0	1	1	2	0.00
0   30	|	0	2	0	0	5	0.00
0   32	|	0	2	2	0	3	0.00
0   33	|	0	3	2	0	3	0.00
0   34	|	0	4	2	0	17	0.00
0   35	|	0	13	1	1	7	0.00
0   36	|	0	5	6	7	11	0.00
0   37	|	1	55	6	1	19	0.04
0   38	|	0	1	0	0	0	 - 
0   39	|	0	0	1	0	0	0.00
0   40	|	0	7	8	8	29	0.00
0   41	|	0	11	8	25	69	0.00
0   43	|	0	0	0	1	1	0.00
0   44	|	0	0	1	0	0	0.00
0   52	|	0	6	0	0	10	0.00
0   53	|	0	5	0	1	3	0.00

1   1	|	4	24	5	0	6	0.27
1   2	|	5	211	33	0	27	0.08
1   3	|	2	31	5	2	16	0.08
1   4	|	3	72	16	0	9	0.11
1   5	|	1	59	7	4	14	0.04
1   6	|	0	1	0	0	1	0.00
1   7	|	2	36	10	2	28	0.05
1   8	|	0	18	1	0	10	0.00
1   9	|	0	14	8	36	30	0.00
1   10	|	7	105	12	4	22	0.16
1   12	|	0	20	8	6	43	0.00
1   13	|	1	82	20	18	69	0.01
1   14	|	0	2	1	1	7	0.00
1   15	|	1	39	8	2	24	0.03
1   16	|	0	1	0	0	0	 - 
1   17	|	0	0	1	0	1	0.00
1   18	|	0	1	0	1	4	0.00
1   22	|	0	0	5	16	39	0.00
1   23	|	1	19	5	3	35	0.02
1   24	|	0	0	0	0	3	0.00
1   28	|	0	4	3	1	6	0.00
1   29	|	0	0	1	1	0	0.00
1   30	|	0	2	0	1	7	0.00
1   32	|	0	5	1	1	5	0.00
