0   1	|	3	1.00	0.00	3	1.00	0.00
0   2	|	30	0.73	0.29	41	1.00	0.00
0   3	|	4	0.80	0.40	2	0.40	0.60
0   4	|	9	0.75	0.25	9	0.75	0.25
0   5	|	10	0.71	0.29	14	1.00	0.00
0   7	|	1	0.25	0.75	2	0.50	0.50
0   8	|	3	1.00	0.00	0	0.00	1.67
0   9	|	1	0.09	1.09	11	1.00	0.00
0   10	|	9	0.60	0.53	15	1.00	0.00
0   12	|	1	0.20	1.60	1	0.20	0.80
0   13	|	6	0.46	0.69	4	0.31	0.69
0   15	|	6	0.75	0.25	7	0.88	0.13
0   22	|	1	0.25	2.50	4	1.00	0.00
0   23	|	4	0.67	1.33	6	1.00	0.00
0   30	|	1	0.33	3.00	2	0.67	0.33
0   35	|	2	0.67	0.33	2	0.67	0.33
0   37	|	10	0.59	0.65	17	1.00	0.00
0   40	|	3	0.20	1.60	8	0.53	0.47
0   41	|	1	0.07	2.40	3	0.20	0.80
0   43	|	1	1.00	0.00	0	0.00	1.00

1   1	|	7	1.00	0.00	7	1.00	0.00
1   2	|	58	1.00	0.00	58	1.00	0.00
1   3	|	16	1.00	0.00	5	0.31	0.69
1   4	|	14	1.00	0.00	14	1.00	0.00
1   5	|	17	0.94	0.06	18	1.00	0.00
1   7	|	10	0.91	0.27	2	0.18	1.27
1   8	|	2	1.00	0.00	0	0.00	1.50
1   9	|	4	0.22	0.94	18	1.00	0.00
1   10	|	27	0.84	0.19	32	1.00	0.00
1   12	|	4	0.50	0.75	2	0.25	0.75
1   13	|	11	0.52	0.67	9	0.43	0.57
1   15	|	7	0.58	0.50	6	0.50	0.50
1   23	|	4	0.50	1.50	8	1.00	0.00
1   28	|	3	0.60	1.20	5	1.00	0.00
1   30	|	2	0.67	1.33	1	0.33	0.67
1   33	|	2	1.00	0.00	1	0.50	0.50
1   34	|	3	0.75	0.75	1	0.25	1.00
1   35	|	4	1.00	0.00	1	0.25	1.50
1   36	|	1	0.13	1.75	8	1.00	0.00
1   37	|	19	0.86	0.18	22	1.00	0.00
1   40	|	4	0.24	1.18	8	0.47	0.53
1   41	|	2	0.20	1.40	5	0.50	0.50
1   52	|	2	0.25	2.00	8	1.00	0.00

10   1	|	175	1.00	0.00	175	1.00	0.00
10   2	|	14	1.00	0.00	14	1.00	0.00
10   3	|	285	0.98	0.02	212	0.73	0.27
10   4	|	14	0.93	0.13	6	0.40	0.60
10   5	|	4	0.67	0.50	6	1.00	0.00
10   6	|	7	1.00	0.00	7	1.00	0.00
10   7	|	121	0.98	0.03	44	0.35	0.82
10   8	|	7	1.00	0.00	2	0.29	0.86
10   9	|	91	0.90	0.12	101	1.00	0.00
10   10	|	4	0.67	0.50	6	1.00	0.00
10   11	|	12	1.00	0.00	12	1.00	0.00
10   12	|	72	0.84	0.23	53	0.62	0.38
10   13	|	20	0.63	0.59	14	0.44	0.56
10   14	|	24	0.89	0.15	10	0.37	0.63
10   15	|	5	0.56	1.22	3	0.33	0.67
10   16	|	2	0.67	0.67	3	1.00	0.00
10   18	|	3	1.00	0.00	3	1.00	0.00
10   22	|	22	0.46	1.42	48	1.00	0.00
10   23	|	7	0.16	2.40	43	1.00	0.00
10   24	|	17	0.68	0.68	25	1.00	0.00
10   30	|	4	0.50	0.88	0	0.00	1.00
10   32	|	27	0.93	0.07	16	0.55	0.45
10   33	|	4	0.67	0.33	4	0.67	0.33
10   34	|	92	0.92	0.12	35	0.35	0.82
10   35	|	16	0.80	0.25	4	0.20	1.10
10   36	|	53	0.78	0.26	68	1.00	0.00
10   37	|	24	0.77	0.39	31	1.00	0.00
10   38	|	11	1.00	0.00	11	1.00	0.00
10   39	|	7	0.88	0.25	8	1.00	0.00
10   40	|	51	0.74	0.42	33	0.48	0.52
10   41	|	134	0.72	0.46	103	0.55	0.45
10   42	|	20	0.61	0.76	13	0.39	0.61
10   43	|	15	0.68	0.55	11	0.50	0.50
10   44	|	9	1.00	0.00	1	0.11	0.89
10   48	|	12	0.29	1.69	42	1.00	0.00
10   50	|	1	1.00	0.00	1	1.00	0.00
10   52	|	7	0.44	1.69	16	1.00	0.00
10   53	|	5	0.15	1.97	6	0.18	0.82

11   1	|	309	1.00	0.00	278	0.90	0.10
11   2	|	24	1.00	0.00	20	0.83	0.17
11   3	|	613	0.96	0.05	390	0.61	0.47
11   4	|	9	0.82	0.18	4	0.36	0.64
11   5	|	8	0.62	0.54	7	0.54	0.46
11   6	|	16	1.00	0.00	15	0.94	0.06
11   7	|	262	0.91	0.11	94	0.33	1.14
11   8	|	6	1.00	0.00	0	0.00	1.00
11   9	|	197	0.86	0.21	187	0.82	0.18
11   10	|	6	0.60	0.50	5	0.50	0.50
11   11	|	15	1.00	0.00	13	0.87	0.13
11   12	|	166	0.79	0.37	102	0.48	0.67
11   13	|	33	0.43	1.09	7	0.09	1.32
11   14	|	32	0.76	0.40	14	0.33	0.93
11   15	|	21	0.60	0.91	3	0.09	1.26
11   16	|	2	1.00	0.00	0	0.00	1.00
11   17	|	3	1.00	0.00	0	0.00	1.33
11   18	|	7	0.47	1.33	4	0.27	1.07
11   22	|	42	0.25	1.95	79	0.48	0.52
11   23	|	14	0.07	2.66	56	0.29	0.71
11   24	|	18	0.25	1.96	25	0.35	0.65
11   29	|	3	0.60	0.80	1	0.20	0.80
11   30	|	3	0.23	2.00	3	0.23	1.31
11   32	|	64	0.96	0.09	24	0.36	0.90
11   33	|	7	0.78	0.33	6	0.67	0.33
11   34	|	195	0.92	0.09	69	0.33	1.10
11   35	|	18	0.86	0.14	5	0.24	1.57
11   36	|	129	0.76	0.50	121	0.72	0.28
11   37	|	28	0.49	1.16	28	0.49	0.51
11   38	|	12	1.00	0.00	11	0.92	0.08
11   39	|	6	0.50	0.92	9	0.75	0.25
11   40	|	97	0.66	0.54	48	0.33	0.94
11   41	|	337	0.67	0.58	179	0.36	0.91
11   42	|	52	0.38	1.28	19	0.14	1.36
11   43	|	20	0.53	1.00	7	0.18	1.29
11   44	|	16	0.80	0.35	2	0.10	1.15
11   48	|	20	0.11	2.57	66	0.35	0.65
11   49	|	2	0.08	2.31	5	0.19	0.81
11   50	|	1	0.08	2.75	3	0.25	0.75
11   52	|	3	0.05	2.86	8	0.14	0.86
11   53	|	15	0.10	2.58	9	0.06	1.42

12   1	|	240	0.98	0.02	244	1.00	0.00
12   2	|	18	1.00	0.00	18	1.00	0.00
12   3	|	409	0.97	0.04	290	0.69	0.31
