0.00  3.00 |	0.23	20.02	1759	24481	2086	1621	2255
0.05  3.00 |	0.24	20.39	1737	24329	1982	1506	2030
0.10  3.00 |	0.26	20.95	1711	23982	1858	1332	1772
0.15  3.00 |	0.27	21.33	1676	23584	1724	1197	1578
0.20  3.00 |	0.29	21.7	1651	23232	1635	1061	1444
0.25  3.00 |	0.30	21.94	1602	22662	1523	914	1294
0.30  3.00 |	0.31	22	1577	22339	1476	864	1223
0.35  3.00 |	0.32	22.04	1524	21800	1393	760	1103
0.40  3.00 |	0.33	22.06	1484	21305	1333	689	1021
0.45  3.00 |	0.34	22.11	1433	20547	1251	596	921
0.50  3.00 |	0.35	22.24	1413	20135	1210	548	864
0.55  3.00 |	0.36	22.24	1375	19572	1150	504	795
0.60  3.00 |	0.37	22.02	1317	18842	1088	441	732
0.65  3.00 |	0.38	21.72	1241	17619	996	374	654
0.70  3.00 |	0.39	21.11	1130	16025	870	297	568
0.75  3.00 |	0.41	20.43	1030	14696	783	233	497
0.80  3.00 |	0.42	19.88	943	13383	699	180	427
0.85  3.00 |	0.43	19.08	852	12110	633	139	369
0.90  3.00 |	0.45	17.62	694	9885	492	76	289
0.95  3.00 |	0.47	14.89	473	6715	321	40	175

0.00  2.50 |	0.23	20.07	1758	24456	2082	1614	2215
0.05  2.50 |	0.24	20.41	1737	24315	1981	1502	2021
0.10  2.50 |	0.26	20.96	1711	23968	1857	1329	1766
0.15  2.50 |	0.27	21.34	1676	23571	1724	1194	1574
0.20  2.50 |	0.29	21.71	1651	23221	1635	1058	1440
0.25  2.50 |	0.30	21.95	1602	22653	1523	911	1290
0.30  2.50 |	0.31	22	1577	22334	1476	864	1222
0.35  2.50 |	0.32	22.05	1524	21796	1393	760	1102
0.40  2.50 |	0.33	22.06	1484	21301	1333	689	1020
0.45  2.50 |	0.34	22.11	1433	20546	1251	596	920
0.50  2.50 |	0.35	22.25	1413	20134	1210	548	863
0.55  2.50 |	0.36	22.24	1375	19572	1150	504	795
0.60  2.50 |	0.37	22.02	1317	18842	1088	441	732
0.65  2.50 |	0.38	21.72	1241	17619	996	374	654
0.70  2.50 |	0.39	21.11	1130	16025	870	297	568
0.75  2.50 |	0.41	20.43	1030	14696	783	233	497
0.80  2.50 |	0.42	19.88	943	13383	699	180	427
0.85  2.50 |	0.43	19.08	852	12110	633	139	369
0.90  2.50 |	0.45	17.62	694	9885	492	76	289
0.95  2.50 |	0.47	14.89	473	6715	321	40	175

0.00  2.00 |	0.23	20.07	1747	24352	2060	1595	2173
0.05  2.00 |	0.24	20.41	1727	24214	1962	1487	1987
0.10  2.00 |	0.26	20.95	1702	23870	1842	1316	1738
0.15  2.00 |	0.27	21.32	1667	23481	1712	1183	1552
0.20  2.00 |	0.29	21.7	1647	23151	1627	1055	1429
0.25  2.00 |	0.30	21.94	1598	22596	1517	911	1281
0.30  2.00 |	0.31	21.98	1574	22290	1471	864	1218
0.35  2.00 |	0.32	22.03	1521	21756	1389	760	1098
0.40  2.00 |	0.33	22.05	1482	21265	1329	689	1016
0.45  2.00 |	0.34	22.11	1432	20537	1248	596	920
0.50  2.00 |	0.35	22.24	1412	20126	1209	548	863
0.55  2.00 |	0.36	22.22	1374	19564	1149	504	795
0.60  2.00 |	0.37	22.02	1317	18839	1087	441	732
0.65  2.00 |	0.38	21.72	1241	17616	995	374	654
0.70  2.00 |	0.39	21.12	1130	16023	869	297	568
0.75  2.00 |	0.41	20.43	1030	14694	782	233	497
0.80  2.00 |	0.42	19.89	943	13381	698	180	427
0.85  2.00 |	0.43	19.09	852	12108	632	139	369
0.90  2.00 |	0.45	17.63	694	9883	491	76	289
0.95  2.00 |	0.47	14.9	473	6713	320	40	175

0.00  1.50 |	0.24	20.01	1678	23570	1922	1492	1937
0.05  1.50 |	0.25	20.35	1659	23443	1829	1389	1771
0.10  1.50 |	0.26	20.81	1638	23156	1726	1239	1591
0.15  1.50 |	0.28	21.19	1609	22803	1611	1119	1429
0.20  1.50 |	0.29	21.55	1592	22502	1538	1002	1328
0.25  1.50 |	0.31	21.8	1543	21952	1428	858	1181
0.30  1.50 |	0.31	21.83	1520	21659	1386	816	1126
0.35  1.50 |	0.33	21.9	1470	21147	1308	713	1013
0.40  1.50 |	0.34	21.96	1435	20697	1255	644	937
0.45  1.50 |	0.35	21.98	1386	20000	1181	555	853
0.50  1.50 |	0.36	22.11	1371	19648	1151	515	809
0.55  1.50 |	0.36	22.09	1344	19192	1114	482	761
0.60  1.50 |	0.37	21.94	1295	18527	1061	422	706
0.65  1.50 |	0.38	21.65	1224	17374	977	360	636
0.70  1.50 |	0.40	21	1116	15902	864	286	559
0.75  1.50 |	0.41	20.37	1024	14662	781	230	493
0.80  1.50 |	0.42	19.84	939	13375	697	179	425
0.85  1.50 |	0.43	19.04	849	12103	632	139	368
0.90  1.50 |	0.45	17.59	692	9878	491	76	289
0.95  1.50 |	0.47	14.9	473	6711	320	40	175

0.00  1.00 |	0.26	19.34	1460	20397	1539	1216	1486
0.05  1.00 |	0.27	19.75	1441	20271	1446	1113	1321
0.10  1.00 |	0.29	20.35	1420	19986	1343	964	1142
0.15  1.00 |	0.30	20.6	1401	19795	1285	885	1056
0.20  1.00 |	0.32	21.01	1387	19534	1220	783	970
0.25  1.00 |	0.33	21.29	1361	19217	1162	669	894
0.30  1.00 |	0.34	21.31	1344	19024	1135	638	859
0.35  1.00 |	0.34	21.3	1323	18850	1115	595	826
0.40  1.00 |	0.35	21.32	1295	18516	1081	538	776
0.45  1.00 |	0.36	21.37	1280	18292	1060	497	750
0.50  1.00 |	0.36	21.43	1272	18092	1047	477	728
0.55  1.00 |	0.37	21.4	1252	17759	1019	455	698
0.60  1.00 |	0.37	21.35	1218	17255	980	403	653
0.65  1.00 |	0.39	21.05	1149	16168	903	343	584
0.70  1.00 |	0.40	20.47	1049	14757	796	273	509
0.75  1.00 |	0.41	19.83	960	13587	717	220	446
0.80  1.00 |	0.42	19.28	875	12312	635	169	380
0.85  1.00 |	0.43	18.47	786	11079	571	129	325
0.90  1.00 |	0.46	17.01	634	8932	437	67	252
0.95  1.00 |	0.47	14.84	470	6688	319	40	174

0.00  0.50 |	0.33	17.44	921	12747	770	507	590
0.05  0.50 |	0.34	17.77	916	12719	741	462	539
0.10  0.50 |	0.36	18	910	12664	721	423	502
0.15  0.50 |	0.36	18.15	905	12628	707	392	483
0.20  0.50 |	0.37	18.27	897	12549	686	361	466
0.25  0.50 |	0.38	18.39	886	12458	672	313	449
0.30  0.50 |	0.39	18.45	879	12388	659	291	440
0.35  0.50 |	0.39	18.45	873	12330	655	273	437
0.40  0.50 |	0.39	18.37	861	12234	646	261	429
0.45  0.50 |	0.40	18.4	853	12155	635	241	421
0.50  0.50 |	0.40	18.38	849	12081	635	235	414
0.55  0.50 |	0.40	18.41	845	11958	624	232	405
0.60  0.50 |	0.41	18.43	829	11721	608	202	384
0.65  0.50 |	0.41	18.37	817	11530	594	194	372
0.70  0.50 |	0.42	18.05	772	10901	552	166	340
0.75  0.50 |	0.43	17.45	709	10100	509	131	301
0.80  0.50 |	0.44	17.12	668	9464	475	110	269
0.85  0.50 |	0.45	16.67	618	8727	434	85	237
0.90  0.50 |	0.48	15.96	534	7385	356	42	188
0.95  0.50 |	0.48	14.71	450	6305	293	33	160

