D   Y          Trk    Tpuri   Tave     Neu    Npuri     Nave
============================================================
0   1	|	24	0.67	0.39	36	1.00	0.00
0   2	|	174	0.69	0.37	254	1.00	0.00
0   3	|	30	0.65	0.48	16	0.35	0.65
0   4	|	61	0.73	0.31	64	0.77	0.23
0   5	|	41	0.65	0.46	63	1.00	0.00
0   7	|	24	0.46	0.71	10	0.19	1.17
0   8	|	16	0.70	0.35	3	0.13	1.26
0   9	|	8	0.12	1.46	65	1.00	0.00
0   10	|	72	0.62	0.53	116	1.00	0.00
0   12	|	5	0.11	1.68	7	0.16	0.84
0   13	|	42	0.33	1.22	45	0.35	0.65
0   15	|	21	0.46	1.09	24	0.52	0.48
0   17	|	1	0.50	1.50	0	0.00	2.00
0   22	|	2	0.03	2.92	59	1.00	0.00
0   23	|	13	0.28	2.33	46	1.00	0.00
0   24	|	1	0.13	2.88	8	1.00	0.00
0   30	|	1	0.08	2.62	4	0.31	0.69
0   32	|	5	0.71	0.57	2	0.29	0.71
0   33	|	6	0.75	0.38	4	0.50	0.50
0   34	|	6	0.22	1.19	0	0.00	1.63
0   35	|	18	0.72	0.32	8	0.32	1.00
0   36	|	4	0.12	1.88	33	1.00	0.00
0   37	|	56	0.55	0.76	102	1.00	0.00
0   40	|	10	0.14	1.87	29	0.41	0.59
0   41	|	4	0.03	2.11	34	0.25	0.75
0   43	|	1	0.33	1.33	0	0.00	1.00
0   52	|	4	0.22	2.50	18	1.00	0.00
0   53	|	2	0.17	2.42	2	0.17	0.83

1   1	|	46	1.00	0.00	46	1.00	0.00
1   2	|	340	1.00	0.00	340	1.00	0.00
1   3	|	65	0.90	0.14	30	0.42	0.58
1   4	|	115	1.00	0.00	96	0.83	0.17
1   5	|	92	0.89	0.18	103	1.00	0.00
1   6	|	1	0.50	0.50	2	1.00	0.00
1   7	|	76	0.82	0.27	20	0.22	1.19
1   8	|	27	0.84	0.25	8	0.25	1.06
1   9	|	23	0.21	1.10	109	1.00	0.00
1   10	|	160	0.87	0.21	184	1.00	0.00
1   12	|	27	0.31	1.35	18	0.20	0.80
1   13	|	112	0.52	0.92	82	0.38	0.62
1   14	|	2	0.17	1.92	0	0.00	1.00
1   15	|	64	0.73	0.35	48	0.55	0.45
1   16	|	1	1.00	0.00	1	1.00	0.00
1   17	|	1	0.50	1.00	0	0.00	2.00
1   18	|	1	0.17	2.00	5	0.83	0.17
1   23	|	22	0.30	2.16	74	1.00	0.00
1   28	|	8	0.38	1.62	21	1.00	0.00
1   29	|	1	0.50	2.50	2	1.00	0.00
1   30	|	5	0.33	2.27	6	0.40	0.60
1   32	|	7	0.54	0.62	6	0.46	0.54
1   33	|	12	0.86	0.21	6	0.43	0.57
1   34	|	19	0.48	0.70	4	0.10	1.38
1   35	|	36	0.86	0.24	11	0.26	1.17
1   36	|	5	0.10	1.64	50	1.00	0.00
1   37	|	100	0.84	0.31	119	1.00	0.00
1   40	|	23	0.18	1.42	51	0.40	0.60
1   41	|	35	0.18	1.64	43	0.22	0.78
1   43	|	2	0.22	1.67	0	0.00	1.00
1   52	|	13	0.41	1.75	32	1.00	0.00
1   53	|	3	0.17	2.22	7	0.39	0.61

10   1	|	1117	1.00	0.00	1119	1.00	0.00
10   2	|	112	1.00	0.00	112	1.00	0.00
10   3	|	2007	0.98	0.02	1457	0.71	0.29
10   4	|	73	0.97	0.05	33	0.44	0.56
10   5	|	27	0.73	0.65	37	1.00	0.00
10   6	|	51	0.94	0.11	54	1.00	0.00
10   7	|	818	0.93	0.09	359	0.41	0.79
10   8	|	42	0.89	0.13	18	0.38	0.94
10   9	|	593	0.86	0.24	690	1.00	0.00
10   10	|	19	0.63	0.53	30	1.00	0.00
10   11	|	64	0.98	0.03	65	1.00	0.00
10   12	|	510	0.76	0.47	397	0.59	0.41
10   13	|	149	0.47	1.07	94	0.29	0.71
10   14	|	131	0.79	0.38	54	0.33	0.67
