Fit 0
peak	1.7	1.8811e+00 	-2.2
muL	1	1.2728e+00 	1.6
muPeak	0.15	3.3270e-01 	0.52
muR	0	6.6599e-02 	1
nuL	3	6.3004e+00 	15
nuR	0.8	1.4118e+00 	4.2
bo1	-0.03	4.3714e-02 	0.1
bs1	-0.05	-2.2372e-02	-0.02
bc1	0	6.5840e-04 	1
sl1	0.07	1.3274e-01 	0.19
sh1	0.01	3.2103e-02 	-0.06
bo2	-0.2	3.0430e-02 	2
bs2	-0.8	2.2636e-01 	0.4
bc2	-0.3	-1.2070e-01	0.2
sl2	0.1	6.6052e-01 	1
sh2	0.01	2.2629e-02 	0.8
fl	0.7	9.9999e-01 	1
fh	0.5	8.0571e-01 	1
bfrac	0.005	8.8212e-03 	0.08
bmean	-0.4	3.0416e-01 	-0.9
bsigr	0.5	5.1947e+00 	6
bsigl	0.3	7.0230e-01 	1.1
bpow	0.05	1.6000e-01 	-2.2
bsigpow	1	2.0000e+00 	-10

















































