 D*0	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D*0 pi0	   113	   91	    1.24   	 106	 101  	    1.05
D0 pi0	   28	   20	    1.40   	 13	 11  	    1.18
Oth D**	   24	   16	    1.50   	 26	 8  	    3.25
D*0 l	   89	   91	    0.98   	 88	 90  	    0.98
D0 l	   8	   7	    1.14   	 17	 10  	    1.70
Cross	   5	   2	    2.50   	 14	 4  	    3.50
Comb.	   180	   62	    2.90   	 331	 139  	    2.38
uds	   26	   12	    2.17   	 106	 31  	    3.42
ccbar	   57	   16	    3.56   	 133	 46  	    2.89

 D0	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D0 pi0	   136	   153	    0.89   	 119	 135  	    0.88
D*0 pi0	   110	   135	    0.81   	 105	 122  	    0.86
Oth D**	   75	   82	    0.91   	 78	 79  	    0.99
D*0 l	   112	   147	    0.76   	 121	 172  	    0.70
D0 l	   56	   72	    0.78   	 66	 85  	    0.78
Cross	   28	   28	    1.00   	 30	 35  	    0.86
Comb.	   227	   182	    1.25   	 484	 288  	    1.68
uds	   40	   24	    1.67   	 226	 115  	    1.97
ccbar	   100	   65	    1.54   	 269	 149  	    1.81

 D*+	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D*+ pi0	   57	   67	    0.85   	 33	 43  	    0.77
D+ pi0	   2	   1	    2.00   	 1	 2  	    0.50
Oth D**	   13	   20	    0.65   	 9	 23  	    0.39
D*+ l	   36	   55	    0.65   	 36	 51  	    0.71
D+ l	   1	   1	    1.00   	 0	 1  	    0.00
Cross	   2	   4	    0.50   	 5	 8  	    0.63
Comb.	   51	   58	    0.88   	 67	 94  	    0.71
uds	   3	   3	    1.00   	 18	 24  	    0.75
ccbar	   11	   11	    1.00   	 24	 24  	    1.00

 D+	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D+ pi0	   73	   60	    1.22   	 67	 49  	    1.37
D*+ pi0	   26	   29	    0.90   	 31	 25  	    1.24
Oth D**	   95	   69	    1.38   	 77	 65  	    1.18
D*+ l	   39	   42	    0.93   	 46	 45  	    1.02
D+ l	   29	   34	    0.85   	 20	 32  	    0.63
Cross	   19	   11	    1.73   	 17	 20  	    0.85
Comb.	   230	   121	    1.90   	 384	 214  	    1.79
uds	   44	   13	    3.38   	 162	 65  	    2.49
ccbar	   85	   43	    1.98   	 173	 106  	    1.63

