 D*0	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D*0 pi0	   91	   147	    0.62   	 101	 137  	    0.74
D0 pi0	   20	   32	    0.63   	 11	 19  	    0.58
Oth D**	   16	   39	    0.41   	 8	 40  	    0.20
D*0 l	   91	   120	    0.76   	 90	 115  	    0.78
D0 l	   7	   11	    0.64   	 10	 21  	    0.48
Cross	   2	   14	    0.14   	 4	 25  	    0.16
Comb.	   62	   255	    0.24   	 139	 475  	    0.29
uds	   12	   110	    0.11   	 31	 442  	    0.07
ccbar	   16	   238	    0.07   	 46	 639  	    0.07

 D0	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D0 pi0	   153	   179	    0.85   	 135	 157  	    0.86
D*0 pi0	   135	   152	    0.89   	 122	 137  	    0.89
Oth D**	   82	   115	    0.71   	 79	 112  	    0.71
D*0 l	   147	   154	    0.95   	 172	 162  	    1.06
D0 l	   72	   68	    1.06   	 85	 87  	    0.98
Cross	   28	   46	    0.61   	 35	 45  	    0.78
Comb.	   182	   322	    0.57   	 288	 645  	    0.45
uds	   24	   235	    0.10   	 115	 1034  	    0.11
ccbar	   65	   502	    0.13   	 149	 1241  	    0.12

 D*+	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D*+ pi0	   67	   74	    0.91   	 43	 46  	    0.93
D+ pi0	   1	   2	    0.50   	 2	 1  	    2.00
Oth D**	   20	   16	    1.25   	 23	 13  	    1.77
D*+ l	   55	   46	    1.20   	 51	 49  	    1.04
D+ l	   1	   1	    1.00   	 1	 1  	    1.00
Cross	   4	   2	    2.00   	 8	 6  	    1.33
Comb.	   58	   65	    0.89   	 94	 99  	    0.95
uds	   3	   16	    0.19   	 24	 50  	    0.48
ccbar	   11	   35	    0.31   	 24	 94  	    0.26

 D+	  Add_Truth30_e	  Base_e   Ratio_e 	Add_Truth30_mu	Base_mu   Ratio_mu 
====================================================================
D+ pi0	   60	   95	    0.63   	 49	 87  	    0.56
D*+ pi0	   29	   39	    0.74   	 25	 42  	    0.60
Oth D**	   69	   126	    0.55   	 65	 105  	    0.62
D*+ l	   42	   57	    0.74   	 45	 65  	    0.69
D+ l	   34	   44	    0.77   	 32	 36  	    0.89
Cross	   11	   31	    0.35   	 20	 24  	    0.83
Comb.	   121	   334	    0.36   	 214	 538  	    0.40
uds	   13	   181	    0.07   	 65	 616  	    0.11
ccbar	   43	   362	    0.12   	 106	 813  	    0.13

