0.00  0.00 |	0.30	293.22	988	1070	820	272	1249
0.01  0.00 |	0.30	294.55	988	1067	816	269	1241
0.02  0.00 |	0.30	295.26	988	1067	813	267	1238
0.03  0.00 |	0.30	298.61	988	1063	804	259	1218
0.04  0.00 |	0.31	301.69	987	1061	793	254	1195
0.05  0.00 |	0.31	304.67	986	1059	787	251	1167
0.06  0.00 |	0.31	306.22	984	1056	782	251	1145
0.07  0.00 |	0.31	307.29	984	1056	780	249	1138
0.08  0.00 |	0.31	308.19	982	1056	776	246	1125
0.09  0.00 |	0.31	308.78	982	1055	775	244	1122
0.10  0.00 |	0.32	312.27	978	1047	762	231	1092
0.11  0.00 |	0.32	313.59	973	1044	754	227	1065
0.12  0.00 |	0.32	315.26	973	1043	749	221	1060
0.13  0.00 |	0.33	317.78	971	1038	743	214	1039
0.14  0.00 |	0.33	317.78	971	1038	743	214	1039
0.15  0.00 |	0.34	323.01	964	1025	717	205	991
0.16  0.00 |	0.34	329.61	960	1017	696	193	947
0.17  0.00 |	0.35	331.75	960	1016	692	192	934
0.18  0.00 |	0.35	332.71	960	1014	690	188	932
0.19  0.00 |	0.35	334.16	960	1014	689	187	922
0.20  0.00 |	0.35	335.01	960	1012	689	185	917
0.21  0.00 |	0.35	337.46	960	1006	684	183	904
0.22  0.00 |	0.35	337.33	957	1001	679	180	899
0.23  0.00 |	0.35	337.46	951	990	670	176	883
0.24  0.00 |	0.36	337.38	950	989	670	172	883
0.25  0.00 |	0.36	337.2	941	981	653	163	869
0.26  0.00 |	0.36	337.64	940	980	651	162	864
0.27  0.00 |	0.36	337.75	938	977	648	160	859
0.28  0.00 |	0.36	337.88	938	977	648	160	858
0.29  0.00 |	0.36	338.98	937	973	641	159	853
0.30  0.00 |	0.36	338.98	937	973	641	159	853
0.31  0.00 |	0.37	342.66	925	956	621	150	801
0.32  0.00 |	0.37	343.16	924	954	619	148	797
0.33  0.00 |	0.37	343.85	924	954	617	147	795
0.34  0.00 |	0.38	343.41	915	943	605	141	777
0.35  0.00 |	0.38	343.14	909	933	600	137	762
0.36  0.00 |	0.38	343.4	901	925	591	132	740
0.37  0.00 |	0.38	341.7	894	921	587	130	728
0.38  0.00 |	0.39	343.32	889	912	583	127	703
0.39  0.00 |	0.39	343.62	889	912	581	127	703
0.40  0.00 |	0.39	342.63	879	899	570	123	683
0.41  0.00 |	0.39	342.79	879	898	570	123	682
0.42  0.00 |	0.40	342.59	864	880	555	112	648
0.43  0.00 |	0.40	345.28	860	874	544	106	632
0.44  0.00 |	0.40	346.27	858	872	542	102	624
0.45  0.00 |	0.41	350.11	855	865	533	96	604
0.46  0.00 |	0.41	350.11	855	865	533	96	604
0.47  0.00 |	0.41	350.97	854	861	530	96	598
0.48  0.00 |	0.41	351.14	854	861	530	95	598
0.49  0.00 |	0.41	351.14	854	861	530	95	598
0.50  0.00 |	0.41	349.37	850	859	529	95	594
0.51  0.00 |	0.41	347.41	847	857	529	95	594
0.52  0.00 |	0.41	347.43	846	855	529	94	591
0.53  0.00 |	0.41	347.48	844	854	526	93	587
0.54  0.00 |	0.41	347.79	839	844	520	89	576
0.55  0.00 |	0.42	348.72	837	837	517	88	567
0.56  0.00 |	0.42	347.48	828	823	512	81	552
0.57  0.00 |	0.42	345.93	823	819	508	81	546
0.58  0.00 |	0.42	347.44	821	814	505	80	534
0.59  0.00 |	0.42	347.44	821	814	505	80	534
0.60  0.00 |	0.42	347.44	821	814	505	80	534
0.61  0.00 |	0.43	340.04	791	776	485	74	490
0.62  0.00 |	0.43	335.21	780	765	482	74	479
0.63  0.00 |	0.44	337.53	769	746	465	69	449
0.64  0.00 |	0.44	338.2	768	743	464	68	444
0.65  0.00 |	0.45	331.11	736	709	438	61	401
0.66  0.00 |	0.45	332.57	734	705	434	61	391
0.67  0.00 |	0.45	332.57	734	705	434	61	391
0.68  0.00 |	0.46	331.74	729	702	430	60	383
0.69  0.00 |	0.46	331.74	729	702	430	60	383
0.70  0.00 |	0.46	324.99	704	682	413	53	355
0.71  0.00 |	0.46	325.21	704	681	412	53	355
0.72  0.00 |	0.47	316.99	681	664	398	49	335
