0   1	|	25	1.00	0.00	25	1.00	0.00
0   2	|	183	1.00	0.00	183	1.00	0.00
0   3	|	18	0.78	0.43	9	0.39	0.61
0   4	|	63	1.00	0.00	52	0.83	0.17
0   5	|	41	0.89	0.11	46	1.00	0.00
0   7	|	31	0.91	0.12	6	0.18	1.24
0   8	|	12	0.75	0.44	1	0.06	1.44
0   9	|	10	0.25	1.02	40	1.00	0.00
0   10	|	75	0.90	0.14	83	1.00	0.00
0   12	|	5	0.24	1.38	7	0.33	0.67
0   13	|	44	0.59	0.69	32	0.43	0.57
0   15	|	24	0.75	0.38	21	0.66	0.34
0   22	|	1	0.03	3.47	30	1.00	0.00
0   23	|	9	0.36	2.24	25	1.00	0.00
0   24	|	1	0.25	4.00	4	1.00	0.00
0   28	|	1	0.50	2.50	2	1.00	0.00
0   30	|	3	0.27	2.36	6	0.55	0.45
0   32	|	1	0.33	1.67	1	0.33	0.67
0   33	|	10	0.91	0.55	8	0.73	0.27
0   34	|	5	0.56	1.22	0	0.00	1.56
0   35	|	11	0.85	0.46	4	0.31	1.08
0   36	|	3	0.12	1.72	25	1.00	0.00
0   37	|	56	0.84	0.49	67	1.00	0.00
0   38	|	1	1.00	0.00	1	1.00	0.00
0   40	|	8	0.22	1.67	21	0.58	0.42
0   41	|	7	0.10	2.77	16	0.22	0.78
0   52	|	9	0.75	1.00	12	1.00	0.00
0   53	|	3	0.33	2.11	1	0.11	0.89

1   1	|	48	1.00	0.00	48	1.00	0.00
1   2	|	244	1.00	0.00	244	1.00	0.00
1   3	|	39	0.95	0.17	17	0.41	0.59
1   4	|	93	0.99	0.02	75	0.80	0.20
1   5	|	68	0.91	0.11	75	1.00	0.00
1   7	|	48	0.75	0.56	13	0.20	1.20
1   8	|	18	0.78	0.39	5	0.22	1.04
1   9	|	14	0.19	1.04	74	1.00	0.00
1   10	|	118	0.91	0.17	130	1.00	0.00
1   12	|	17	0.37	1.28	13	0.28	0.72
1   13	|	78	0.53	1.12	71	0.48	0.52
1   15	|	44	0.73	0.60	39	0.65	0.35
1   16	|	1	0.50	0.50	1	0.50	0.50
1   17	|	1	1.00	0.00	0	0.00	2.00
1   23	|	15	0.43	2.46	35	1.00	0.00
1   24	|	1	0.25	4.25	4	1.00	0.00
1   28	|	3	0.33	2.44	9	1.00	0.00
1   29	|	1	0.50	3.50	2	1.00	0.00
1   30	|	3	0.50	1.33	2	0.33	0.67
1   32	|	5	0.71	0.86	4	0.57	0.43
1   33	|	8	0.89	0.11	5	0.56	0.44
1   34	|	10	0.45	1.05	2	0.09	1.41
