0   1	|	0	7	0	0	1	0.00
0   2	|	0	22	1	0	5	0.00
0   3	|	0	1	0	0	2	0.00
0   4	|	0	7	0	0	0	 - 
0   5	|	0	6	2	0	0	0.00
0   7	|	0	0	0	0	4	0.00
0   8	|	0	1	0	0	1	0.00
0   9	|	0	1	0	4	2	0.00
0   10	|	0	11	1	1	0	0.00
0   12	|	0	2	0	1	6	0.00
0   13	|	0	6	1	0	3	0.00
0   15	|	0	4	1	0	3	0.00
0   22	|	0	0	0	3	5	0.00
0   23	|	0	1	1	0	2	0.00
0   28	|	0	0	0	0	3	0.00
0   30	|	0	1	0	2	1	0.00
0   32	|	0	2	0	0	0	 - 
0   33	|	0	1	1	0	2	0.00
0   34	|	0	0	1	1	3	0.00
0   35	|	0	0	1	0	1	0.00
0   36	|	0	1	2	0	6	0.00
0   37	|	0	5	2	1	4	0.00
0   40	|	0	1	1	0	5	0.00
0   41	|	0	2	1	2	15	0.00
0   52	|	0	0	0	2	0	0.00
0   53	|	0	1	0	0	0	 - 

1   1	|	0	2	3	0	2	0.00
1   2	|	2	23	4	0	2	0.25
1   3	|	1	5	0	0	2	0.33
1   4	|	0	19	1	0	0	0.00
1   5	|	0	8	5	1	4	0.00
1   7	|	0	4	0	1	2	0.00
1   8	|	0	2	0	0	1	0.00
1   9	|	0	1	1	5	3	0.00
1   10	|	1	11	0	0	0	1.00
1   12	|	0	0	2	0	5	0.00
1   13	|	0	15	4	1	9	0.00
1   14	|	0	0	0	0	1	0.00
1   15	|	0	11	2	0	3	0.00
1   16	|	0	1	0	0	0	 - 
1   22	|	0	0	0	0	3	0.00
1   23	|	0	1	0	1	1	0.00
1   24	|	0	0	1	0	0	0.00
1   29	|	0	0	0	1	0	0.00
1   30	|	0	0	0	0	1	0.00
1   32	|	1	0	0	0	1	0.50
1   33	|	0	2	0	0	0	 - 
1   34	|	0	1	1	0	2	0.00
1   35	|	0	5	0	0	0	 - 
1   36	|	0	2	1	1	4	0.00
1   37	|	0	8	2	0	5	0.00
1   40	|	0	2	3	1	6	0.00
1   41	|	1	1	2	5	17	0.04
1   43	|	0	0	0	1	0	0.00
1   44	|	0	1	0	0	0	 - 
1   52	|	0	2	1	0	2	0.00
1   53	|	0	0	0	0	2	0.00

10   1	|	3	97	14	0	19	0.08
10   2	|	0	13	2	1	3	0.00
10   3	|	4	166	28	1	37	0.06
10   4	|	0	7	1	0	1	0.00
10   5	|	1	3	1	0	3	0.20
10   6	|	0	2	2	0	0	0.00
10   7	|	4	70	8	1	29	0.10
10   8	|	0	2	2	0	0	0.00
10   9	|	0	51	10	3	24	0.00
10   10	|	0	0	0	1	1	0.00
10   11	|	0	5	1	0	1	0.00
10   12	|	0	44	6	2	13	0.00
10   13	|	0	14	3	3	12	0.00
10   14	|	0	9	2	0	2	0.00
10   15	|	0	8	3	0	6	0.00
10   18	|	0	2	2	1	0	0.00
10   22	|	0	10	5	5	23	0.00
10   23	|	1	4	9	8	47	0.02
10   24	|	2	11	3	3	8	0.13
10   28	|	0	1	0	1	0	0.00
10   30	|	0	1	1	0	1	0.00
10   32	|	0	16	6	0	7	0.00
10   33	|	0	3	1	0	0	0.00
10   34	|	5	51	4	2	12	0.22
10   35	|	1	9	3	0	2	0.17
10   36	|	4	40	5	4	15	0.14
10   37	|	0	11	4	0	6	0.00
10   38	|	0	5	2	0	2	0.00
10   39	|	1	4	0	0	1	0.50
10   40	|	1	28	8	4	16	0.03
10   41	|	6	83	22	13	43	0.07
10   42	|	1	13	9	4	23	0.03
10   43	|	0	5	0	0	1	0.00
10   44	|	0	6	2	0	1	0.00
10   48	|	1	9	3	1	22	0.04
10   49	|	0	0	1	0	6	0.00
10   50	|	0	0	1	0	2	0.00
10   52	|	0	1	3	3	4	0.00
10   53	|	2	7	1	4	28	0.06

11   1	|	8	175	17	0	28	0.15
11   2	|	2	17	0	0	1	0.67
11   3	|	12	360	54	3	62	0.09
11   4	|	0	8	1	0	2	0.00
11   5	|	0	5	1	1	2	0.00
11   6	|	1	10	1	0	0	0.50
11   7	|	5	147	20	3	42	0.07
11   8	|	0	3	0	0	6	0.00
11   9	|	5	108	16	3	44	0.07
11   10	|	0	2	0	0	2	0.00
11   11	|	1	11	0	0	1	0.50
11   12	|	3	86	25	9	57	0.03
11   13	|	1	22	10	4	35	0.02
11   14	|	0	16	2	0	10	0.00
11   15	|	1	13	4	0	18	0.04
11   16	|	0	3	0	0	1	0.00
11   17	|	0	2	0	0	0	 - 
11   18	|	0	2	0	0	10	0.00
11   22	|	0	28	21	4	112	0.00
11   23	|	2	13	23	10	200	0.01
11   24	|	0	15	8	5	67	0.00
11   28	|	0	1	0	1	5	0.00
11   29	|	0	0	0	0	1	0.00
11   30	|	0	0	1	0	8	0.00
11   32	|	1	33	7	0	16	0.04
11   33	|	0	4	1	1	1	0.00
11   34	|	7	88	16	0	59	0.09
11   35	|	0	15	2	0	15	0.00
11   36	|	3	55	11	8	52	0.04
11   37	|	1	21	6	2	26	0.03
11   38	|	0	3	1	0	0	0.00
11   39	|	0	5	1	0	8	0.00
11   40	|	2	61	14	7	58	0.02
11   41	|	7	181	40	18	186	0.03
11   42	|	0	22	12	3	100	0.00
11   43	|	1	14	5	0	27	0.03
11   44	|	0	4	1	1	4	0.00
11   48	|	1	18	14	9	187	0.00
11   49	|	0	2	1	1	30	0.00
11   50	|	0	1	1	0	10	0.00
11   52	|	0	2	2	2	41	0.00
11   53	|	1	13	6	5	108	0.01

12   1	|	6	141	21	0	15	0.14
12   2	|	0	6	2	0	1	0.00
12   3	|	10	224	27	3	58	0.10
12   4	|	0	8	0	0	4	0.00
12   5	|	0	6	0	1	4	0.00
12   6	|	0	6	0	0	0	 - 
12   7	|	4	79	18	4	33	0.07
12   8	|	0	1	0	0	2	0.00
12   9	|	1	71	17	4	32	0.02
12   10	|	0	2	0	0	2	0.00
12   11	|	0	7	1	0	1	0.00
12   12	|	2	63	17	6	35	0.03
12   13	|	0	17	6	1	34	0.00
12   14	|	2	13	0	0	8	0.20
12   15	|	1	6	1	0	24	0.04
12   16	|	0	2	0	0	0	 - 
12   17	|	0	1	0	0	0	 - 
12   18	|	0	1	0	0	10	0.00
12   22	|	0	12	14	2	76	0.00
12   23	|	0	5	11	7	139	0.00
12   24	|	0	8	11	2	57	0.00
12   28	|	0	0	0	1	4	0.00
12   29	|	0	1	0	0	2	0.00
12   30	|	0	1	2	0	9	0.00
12   32	|	1	11	5	0	8	0.07
12   33	|	0	0	1	0	2	0.00
