0   1	|	0	0	2	0	1	0.00
0   2	|	9	11	8	0	3	0.45
0   3	|	1	3	1	0	3	0.20
0   4	|	2	2	3	0	1	0.33
0   5	|	0	4	2	0	1	0.00
0   7	|	0	0	2	0	4	0.00
0   8	|	0	1	1	0	3	0.00
0   9	|	1	1	2	1	2	0.17
0   10	|	1	6	2	0	3	0.17
0   12	|	1	1	2	3	5	0.09
0   13	|	1	1	4	0	8	0.08
0   14	|	0	0	0	0	1	0.00
0   15	|	0	1	3	2	0	0.00
0   17	|	0	0	1	0	0	0.00
0   22	|	0	0	0	2	2	0.00
0   23	|	0	1	0	1	2	0.00
0   24	|	0	0	0	1	0	0.00
0   30	|	0	0	0	0	1	0.00
0   32	|	0	0	1	0	1	0.00
0   33	|	0	0	2	0	2	0.00
0   34	|	0	2	0	0	5	0.00
0   35	|	0	1	0	0	0	 - 
0   36	|	0	0	1	2	2	0.00
0   37	|	1	3	1	1	4	0.14
0   40	|	0	1	2	0	6	0.00
0   41	|	1	3	2	5	14	0.05
0   52	|	0	0	0	2	0	0.00
0   53	|	0	1	0	1	2	0.00

1   1	|	4	1	3	0	2	0.44
1   2	|	9	11	11	0	7	0.33
1   3	|	3	3	3	0	6	0.25
1   4	|	3	6	3	0	1	0.43
1   5	|	0	4	3	0	4	0.00
1   7	|	1	3	4	0	4	0.11
1   8	|	0	2	0	0	1	0.00
1   9	|	0	0	3	5	1	0.00
1   10	|	8	4	6	0	5	0.42
1   12	|	0	3	4	0	8	0.00
1   13	|	1	5	4	4	10	0.05
1   14	|	0	0	1	1	1	0.00
1   15	|	1	5	2	0	4	0.14
1   17	|	0	0	1	0	0	0.00
1   18	|	0	0	0	0	2	0.00
1   22	|	0	0	1	1	3	0.00
1   23	|	0	5	2	0	1	0.00
1   28	|	0	1	1	0	3	0.00
1   29	|	0	0	0	1	0	0.00
1   32	|	1	0	0	0	1	0.50
1   33	|	0	0	0	0	1	0.00
1   34	|	1	0	1	1	2	0.20
1   35	|	0	3	2	0	2	0.00
1   36	|	0	0	2	3	4	0.00
1   37	|	5	7	2	0	4	0.45
1   38	|	0	0	1	0	1	0.00
1   40	|	1	2	8	1	12	0.05
1   41	|	1	4	3	2	16	0.05
1   43	|	0	0	0	0	1	0.00
1   52	|	1	0	1	0	1	0.33
1   53	|	0	0	0	0	2	0.00

10   1	|	31	35	29	0	19	0.39
10   2	|	3	2	0	0	1	0.75
10   3	|	50	75	56	2	39	0.34
10   4	|	2	2	2	0	2	0.33
10   5	|	3	0	1	0	0	0.75
10   6	|	3	3	2	0	1	0.50
10   7	|	23	25	16	2	22	0.37
10   8	|	2	1	1	0	0	0.67
10   9	|	13	19	16	3	12	0.30
10   10	|	0	1	0	0	1	0.00
10   11	|	1	1	1	0	1	0.33
10   12	|	9	20	25	9	22	0.14
10   13	|	4	13	5	2	21	0.13
10   14	|	1	6	5	2	8	0.06
10   15	|	2	3	2	0	7	0.18
10   16	|	0	0	0	0	1	0.00
10   17	|	0	2	1	0	0	0.00
10   18	|	0	1	1	0	1	0.00
10   22	|	6	5	7	2	11	0.23
10   23	|	3	6	10	8	23	0.07
10   24	|	4	3	6	3	4	0.24
10   28	|	1	2	0	1	0	0.50
10   30	|	0	1	1	2	6	0.00
10   32	|	5	10	7	0	4	0.31
10   33	|	0	0	3	0	0	0.00
10   34	|	18	31	11	1	23	0.34
10   35	|	2	3	2	1	5	0.20
10   36	|	10	15	15	0	11	0.28
10   37	|	2	5	3	4	8	0.12
10   38	|	0	3	2	0	0	0.00
10   39	|	1	3	1	0	1	0.33
10   40	|	11	16	8	3	15	0.30
10   41	|	37	44	38	9	62	0.25
10   42	|	8	10	10	0	18	0.22
10   43	|	1	7	4	0	6	0.09
10   44	|	2	1	1	0	1	0.50
10   48	|	2	5	10	5	16	0.06
10   49	|	1	1	1	0	3	0.20
10   50	|	0	0	0	0	2	0.00
10   52	|	0	2	2	2	9	0.00
10   53	|	5	3	3	3	20	0.16

11   1	|	56	60	51	0	38	0.39
11   2	|	7	7	3	0	3	0.54
11   3	|	100	140	102	3	80	0.35
11   4	|	3	5	2	0	3	0.38
11   5	|	1	3	1	0	4	0.17
11   6	|	3	3	3	0	2	0.38
11   7	|	42	63	60	5	53	0.26
11   8	|	1	2	4	0	1	0.17
11   9	|	43	45	38	3	35	0.36
11   10	|	1	0	2	0	2	0.20
11   11	|	4	3	1	0	0	0.80
11   12	|	18	35	37	12	59	0.14
11   13	|	7	17	9	5	30	0.14
11   14	|	5	14	11	3	19	0.13
11   15	|	4	8	8	4	19	0.11
11   16	|	0	0	0	0	1	0.00
11   17	|	2	2	0	0	0	1.00
11   18	|	1	3	0	0	8	0.11
11   22	|	6	12	31	7	66	0.05
11   23	|	3	10	21	15	87	0.02
11   24	|	4	8	7	4	23	0.11
11   28	|	0	0	0	1	9	0.00
11   29	|	0	0	0	1	4	0.00
11   30	|	0	1	3	1	5	0.00
11   32	|	10	12	9	0	14	0.30
11   33	|	0	3	2	0	1	0.00
11   34	|	36	40	42	2	58	0.26
11   35	|	7	3	7	1	11	0.27
11   36	|	25	27	27	6	39	0.26
11   37	|	5	11	9	1	20	0.14
11   38	|	2	5	0	1	3	0.33
11   39	|	2	2	3	1	5	0.18
11   40	|	13	24	26	5	41	0.15
11   41	|	55	107	109	24	159	0.16
11   42	|	8	31	14	6	83	0.07
11   43	|	7	10	12	2	15	0.19
11   44	|	1	4	2	0	6	0.11
11   48	|	9	16	35	11	103	0.06
11   49	|	0	0	2	3	16	0.00
11   50	|	0	1	2	2	5	0.00
11   52	|	0	1	5	6	27	0.00
11   53	|	5	13	30	12	96	0.03

12   1	|	35	48	39	1	20	0.37
12   2	|	1	4	1	0	0	0.50
12   3	|	87	93	68	4	63	0.39
12   4	|	0	3	1	1	2	0.00
12   5	|	1	2	1	0	1	0.33
12   6	|	3	1	1	0	1	0.60
12   7	|	40	42	41	3	48	0.30
12   8	|	0	0	2	0	2	0.00
12   9	|	21	28	32	3	14	0.30
12   10	|	0	3	1	1	0	0.00
12   11	|	2	3	4	0	0	0.33
12   12	|	18	19	27	8	29	0.22
12   13	|	4	10	8	2	39	0.08
12   14	|	2	5	6	1	13	0.09
12   15	|	3	2	2	1	17	0.13
12   16	|	0	1	0	0	0	 - 
12   18	|	0	0	1	1	6	0.00
12   22	|	6	8	16	9	58	0.07
12   23	|	2	6	20	10	66	0.02
12   24	|	0	3	7	2	24	0.00
12   28	|	0	0	0	1	2	0.00
12   29	|	0	1	0	0	1	0.00
12   30	|	0	0	0	0	9	0.00
12   32	|	5	9	9	2	13	0.17
12   33	|	0	0	1	0	3	0.00
12   34	|	26	35	27	2	44	0.26
12   35	|	2	6	5	0	13	0.10
12   36	|	16	16	24	6	25	0.23
12   37	|	4	5	8	4	17	0.12
12   38	|	1	2	3	1	1	0.17
12   39	|	1	1	0	0	5	0.17
12   40	|	12	20	22	5	38	0.16
12   41	|	41	65	65	9	126	0.17
12   42	|	4	9	27	5	64	0.04
12   43	|	2	2	6	2	20	0.07
12   44	|	2	0	2	0	3	0.29
12   48	|	1	4	21	8	54	0.01
12   49	|	0	1	2	0	12	0.00
12   50	|	0	0	0	0	4	0.00
12   52	|	0	0	8	2	26	0.00
12   53	|	3	4	16	2	87	0.03

13   1	|	10	15	13	2	7	0.31
13   2	|	2	1	2	0	2	0.33
13   3	|	22	17	28	3	25	0.28
13   4	|	1	1	0	0	1	0.50
13   5	|	0	1	2	0	1	0.00
13   6	|	0	0	1	1	1	0.00
13   7	|	8	10	17	2	35	0.13
13   8	|	0	0	0	1	1	0.00
13   9	|	4	11	10	3	14	0.13
13   10	|	0	2	0	0	1	0.00
13   11	|	0	2	0	1	0	0.00
13   12	|	4	10	11	3	29	0.09
13   13	|	3	4	10	6	40	0.05
13   14	|	0	3	1	1	7	0.00
13   15	|	1	1	3	1	9	0.07
13   16	|	0	0	1	0	0	0.00
13   18	|	0	1	0	1	4	0.00
13   22	|	3	1	7	4	45	0.05
13   23	|	0	9	13	8	69	0.00
13   24	|	1	1	6	0	20	0.04
13   28	|	0	0	0	2	1	0.00
13   29	|	0	0	0	1	0	0.00
13   30	|	0	0	2	0	7	0.00
13   32	|	1	3	4	1	7	0.08
