0   1	|	0	4	0	0	1	0.00
0   2	|	5	3	1	0	1	0.71
0   3	|	0	0	0	1	0	0.00
0   4	|	1	2	0	0	0	1.00
0   5	|	0	0	3	0	1	0.00
0   7	|	1	0	2	0	1	0.25
0   8	|	1	0	0	0	1	0.50
0   9	|	1	0	0	1	0	0.50
0   10	|	2	1	1	0	3	0.33
0   13	|	1	2	1	0	3	0.20
0   15	|	0	0	1	0	2	0.00
0   32	|	0	1	0	0	0	 - 
0   33	|	0	2	0	0	1	0.00
0   34	|	0	1	2	0	2	0.00
0   35	|	2	0	0	0	1	0.67
0   37	|	0	2	0	1	0	0.00
0   40	|	0	0	1	0	0	0.00
0   41	|	0	0	0	0	2	0.00
0   52	|	1	0	0	0	0	1.00

1   1	|	3	3	1	0	1	0.60
1   2	|	9	7	2	0	2	0.69
1   3	|	1	0	1	0	1	0.33
1   4	|	2	2	1	1	1	0.40
1   5	|	2	1	0	0	1	0.67
1   7	|	1	1	2	2	0	0.20
1   8	|	0	3	0	0	2	0.00
1   9	|	0	0	0	0	1	0.00
1   10	|	2	3	1	0	0	0.67
1   12	|	0	0	1	1	1	0.00
1   13	|	3	1	1	0	1	0.60
1   15	|	1	0	1	0	0	0.50
1   32	|	0	0	1	0	0	0.00
1   34	|	0	0	0	1	2	0.00
1   35	|	2	1	1	0	1	0.50
1   36	|	0	0	0	0	2	0.00
1   37	|	2	2	1	0	2	0.40
1   40	|	1	0	1	0	3	0.20
1   41	|	2	0	1	1	3	0.29

10   1	|	17	14	16	0	6	0.44
10   2	|	4	2	1	0	3	0.50
10   3	|	32	43	29	2	27	0.36
10   4	|	1	1	0	0	1	0.50
10   5	|	1	0	1	0	0	0.50
10   6	|	1	0	1	0	0	0.50
10   7	|	21	22	14	1	12	0.44
10   8	|	1	3	0	0	0	1.00
10   9	|	10	9	10	1	7	0.36
10   10	|	0	1	0	1	0	0.00
10   11	|	1	2	0	0	0	1.00
10   12	|	13	10	11	1	2	0.48
10   13	|	2	6	1	0	3	0.33
10   14	|	1	4	1	0	2	0.25
10   15	|	1	3	2	0	0	0.33
10   16	|	0	1	0	0	0	 - 
10   22	|	2	0	1	2	4	0.22
10   23	|	0	0	1	3	1	0.00
10   24	|	0	1	0	0	0	 - 
10   30	|	0	0	0	0	2	0.00
10   32	|	5	2	4	1	4	0.36
10   33	|	0	0	1	0	0	0.00
10   34	|	15	14	12	3	12	0.36
10   35	|	4	1	0	0	1	0.80
10   36	|	9	6	5	0	2	0.56
10   37	|	2	1	2	2	2	0.25
10   38	|	0	2	1	0	0	0.00
10   39	|	1	0	0	0	0	1.00
10   40	|	2	10	4	0	6	0.17
10   41	|	20	24	7	6	25	0.34
10   42	|	0	2	2	3	2	0.00
10   43	|	1	1	1	0	0	0.50
10   44	|	0	1	0	0	0	 - 
10   48	|	0	1	0	0	0	 - 
10   52	|	0	0	1	1	0	0.00
10   53	|	1	2	0	0	1	0.50

11   1	|	54	41	34	0	24	0.48
11   2	|	4	4	0	1	1	0.67
11   3	|	74	99	60	2	46	0.41
11   4	|	1	0	1	0	2	0.25
11   5	|	2	0	1	0	0	0.67
11   6	|	2	0	0	0	0	1.00
11   7	|	35	42	22	2	26	0.41
11   8	|	0	2	1	0	1	0.00
11   9	|	26	18	12	0	14	0.50
11   10	|	0	0	1	0	1	0.00
11   11	|	0	3	1	0	1	0.00
11   12	|	11	20	7	2	17	0.30
11   13	|	2	8	4	1	8	0.13
11   14	|	5	2	0	0	2	0.71
11   15	|	2	4	1	1	1	0.40
11   16	|	1	0	0	0	0	1.00
11   17	|	0	1	0	0	0	 - 
11   22	|	0	0	1	2	4	0.00
11   23	|	2	1	3	1	8	0.14
11   24	|	1	5	0	1	0	0.50
11   30	|	0	0	0	0	1	0.00
11   32	|	8	9	6	2	8	0.33
11   33	|	1	0	1	0	1	0.33
11   34	|	24	36	12	0	31	0.36
11   35	|	4	4	1	1	6	0.33
11   36	|	10	19	12	1	14	0.27
11   37	|	2	1	4	0	6	0.17
11   38	|	3	1	0	0	2	0.60
11   39	|	1	1	1	0	2	0.25
11   40	|	11	21	7	3	8	0.38
11   41	|	29	38	39	8	31	0.27
11   42	|	3	3	2	1	15	0.14
11   43	|	0	1	3	1	2	0.00
11   44	|	1	3	1	0	1	0.33
11   48	|	0	0	2	1	4	0.00
11   53	|	0	2	3	0	5	0.00

12   1	|	23	27	12	0	9	0.52
12   2	|	4	1	0	0	0	1.00
12   3	|	54	50	28	1	21	0.52
12   5	|	0	1	1	0	1	0.00
12   7	|	19	23	17	1	10	0.40
12   8	|	1	0	0	0	0	1.00
12   9	|	13	9	6	2	1	0.59
12   11	|	0	2	0	0	0	 - 
12   12	|	6	7	7	0	4	0.35
12   13	|	2	2	2	2	4	0.20
12   14	|	2	0	2	0	1	0.40
12   15	|	0	1	0	0	2	0.00
12   16	|	0	0	0	0	1	0.00
12   17	|	0	0	0	1	0	0.00
12   18	|	1	1	1	0	0	0.50
12   23	|	0	0	0	1	1	0.00
12   24	|	0	0	0	0	1	0.00
12   32	|	2	1	1	2	2	0.29
12   33	|	0	1	2	0	0	0.00
12   34	|	6	11	7	1	15	0.21
12   35	|	1	1	0	0	6	0.14
12   36	|	8	3	5	0	2	0.53
12   37	|	0	1	0	0	2	0.00
12   38	|	1	1	0	0	0	1.00
12   39	|	1	0	0	0	0	1.00
12   40	|	7	5	2	0	1	0.70
12   41	|	14	12	5	2	8	0.48
12   42	|	0	0	1	2	2	0.00
12   43	|	1	0	0	0	1	0.50
12   44	|	0	0	2	0	0	0.00
12   48	|	0	2	0	0	0	 - 
12   50	|	0	0	0	0	1	0.00
12   52	|	0	0	0	0	1	0.00
12   53	|	0	0	0	0	4	0.00

13   1	|	6	7	10	2	5	0.26
13   2	|	1	2	1	0	0	0.50
13   3	|	13	12	6	1	10	0.43
13   4	|	0	0	1	0	1	0.00
13   7	|	6	8	13	1	5	0.24
13   9	|	3	0	1	0	2	0.50
13   12	|	3	3	1	1	6	0.27
13   13	|	1	0	0	0	3	0.25
13   14	|	1	0	0	0	0	1.00
13   15	|	0	0	0	1	1	0.00
13   22	|	0	1	0	0	1	0.00
13   32	|	4	0	0	0	3	0.57
13   34	|	3	8	5	5	7	0.15
13   35	|	0	0	3	0	1	0.00
13   36	|	4	1	1	0	3	0.50
13   37	|	1	0	1	0	4	0.17
13   39	|	0	0	1	0	0	0.00
13   40	|	1	2	1	0	6	0.13
13   41	|	2	3	5	1	8	0.13
13   42	|	1	1	5	0	3	0.11
13   43	|	1	0	0	0	0	1.00
13   44	|	0	0	0	0	1	0.00
13   48	|	0	1	0	0	1	0.00

14   1	|	5	6	2	0	3	0.50
14   2	|	0	0	0	0	1	0.00
14   3	|	10	9	3	2	9	0.42
14   7	|	6	2	3	0	3	0.50
14   9	|	0	2	2	0	1	0.00
14   11	|	0	0	1	0	0	0.00
14   12	|	2	1	2	1	4	0.22
14   13	|	0	1	1	0	1	0.00
14   14	|	0	2	0	0	0	 - 
14   15	|	0	0	1	0	0	0.00
14   23	|	0	0	1	0	0	0.00
14   24	|	0	0	0	0	1	0.00
14   32	|	3	2	2	0	2	0.43
14   34	|	0	4	1	1	3	0.00
14   35	|	0	1	2	0	0	0.00
14   36	|	2	1	0	0	0	1.00
14   37	|	0	0	2	0	0	0.00
14   40	|	0	1	0	1	5	0.00
14   41	|	4	5	3	2	7	0.25
14   42	|	0	1	0	0	3	0.00
14   43	|	0	0	0	0	2	0.00
14   44	|	2	0	0	0	0	1.00
14   48	|	0	0	0	0	1	0.00

15   1	|	6	1	4	0	1	0.55
15   3	|	5	2	2	0	2	0.56
15   7	|	0	1	0	0	1	0.00
15   9	|	1	1	1	0	0	0.50
15   12	|	0	1	0	0	2	0.00
15   34	|	1	0	0	0	2	0.33
15   36	|	0	1	2	0	0	0.00
15   40	|	1	0	0	1	0	0.50
15   41	|	0	1	1	0	0	0.00
15   42	|	0	1	0	0	0	 - 
15   44	|	1	0	0	0	0	1.00
15   49	|	1	0	0	0	0	1.00
15   53	|	0	0	0	0	1	0.00

16   1	|	7	4	6	0	0	0.54
16   2	|	0	1	1	0	1	0.00
16   3	|	10	15	10	0	6	0.38
16   4	|	1	2	1	0	2	0.25
16   5	|	0	0	1	1	1	0.00
16   6	|	0	1	0	0	0	 - 
16   7	|	2	9	7	1	11	0.10
16   8	|	0	2	1	1	0	0.00
16   9	|	4	6	5	0	7	0.25
16   10	|	1	1	1	0	2	0.25
16   11	|	1	0	0	0	1	0.50
16   12	|	2	3	8	1	6	0.12
16   13	|	3	10	12	4	10	0.10
16   14	|	0	0	1	1	1	0.00
16   15	|	1	2	0	0	8	0.11
16   16	|	0	0	0	0	1	0.00
