0   1	|	0	16	2	0	2	0.00
0   2	|	9	111	3	0	2	0.64
0   3	|	1	10	1	0	0	0.50
0   4	|	2	38	3	1	2	0.25
0   5	|	1	26	1	0	0	0.50
0   6	|	0	0	0	1	0	0.00
0   7	|	0	10	1	0	2	0.00
0   8	|	0	5	0	0	2	0.00
0   9	|	1	3	2	14	3	0.05
0   10	|	0	33	3	0	2	0.00
0   12	|	1	5	0	5	2	0.13
0   13	|	1	23	3	0	7	0.09
0   14	|	0	0	0	0	1	0.00
0   15	|	0	12	1	2	0	0.00
0   22	|	0	3	0	4	0	0.00
0   23	|	0	5	1	1	0	0.00
0   24	|	0	0	0	1	1	0.00
0   28	|	0	1	0	0	0	 - 
0   30	|	0	1	0	1	0	0.00
0   32	|	0	0	1	0	0	0.00
0   33	|	0	2	1	0	1	0.00
0   34	|	0	2	0	0	2	0.00
0   35	|	0	7	0	0	0	 - 
0   36	|	0	2	0	3	0	0.00
0   37	|	1	29	1	0	2	0.25
0   40	|	0	5	2	6	3	0.00
0   41	|	1	5	1	9	3	0.07
0   43	|	0	1	0	0	0	 - 
0   52	|	0	2	0	0	0	 - 
0   53	|	0	0	0	1	0	0.00

1   1	|	3	10	2	0	1	0.50
1   2	|	7	142	7	0	5	0.37
1   3	|	3	25	1	2	0	0.50
1   4	|	3	52	1	0	0	0.75
1   5	|	0	34	1	2	1	0.00
1   7	|	1	18	1	1	2	0.20
1   8	|	0	9	1	0	2	0.00
1   9	|	0	12	3	29	1	0.00
1   10	|	7	67	4	3	4	0.39
1   12	|	0	10	2	2	5	0.00
1   13	|	1	43	4	7	4	0.06
1   14	|	0	0	1	0	0	0.00
1   15	|	1	26	0	0	1	0.50
1   16	|	0	1	0	0	0	 - 
1   17	|	0	0	1	0	0	0.00
1   22	|	0	1	1	7	0	0.00
1   23	|	0	9	1	1	0	0.00
1   28	|	0	2	0	0	1	0.00
1   29	|	0	0	0	1	0	0.00
1   30	|	0	2	0	0	1	0.00
1   32	|	0	2	0	0	1	0.00
1   33	|	0	4	0	0	0	 - 
1   34	|	1	2	1	0	0	0.50
1   35	|	0	6	0	0	0	 - 
1   36	|	0	3	1	6	3	0.00
1   37	|	4	44	3	1	2	0.40
1   38	|	0	0	1	0	0	0.00
1   40	|	1	7	5	10	5	0.05
1   41	|	1	12	2	6	7	0.06
1   43	|	0	1	0	0	0	 - 
1   52	|	1	4	1	0	0	0.50
1   53	|	0	1	0	2	1	0.00

10   1	|	26	379	10	0	13	0.53
10   2	|	3	40	1	0	0	0.75
10   3	|	46	659	39	7	23	0.40
10   4	|	1	25	0	0	1	0.50
10   5	|	3	9	1	0	0	0.75
10   6	|	2	13	1	0	0	0.67
10   7	|	15	255	11	1	8	0.43
10   8	|	0	11	0	0	0	 - 
10   9	|	7	189	11	12	7	0.19
10   10	|	0	9	0	1	0	0.00
10   11	|	1	20	0	0	1	0.50
10   12	|	7	165	12	8	10	0.19
10   13	|	3	41	1	4	6	0.21
10   14	|	1	32	0	1	3	0.20
10   15	|	0	9	0	0	0	 - 
10   16	|	0	5	0	1	0	0.00
