
tanB/mH		     R(D)		     R(D*)

0.000		0.297 +- 0.017 		0.252 +- 0.003
0.001		0.297 +- 0.016 		0.252 +- 0.003
0.002		0.297 +- 0.016 		0.252 +- 0.003
0.003		0.297 +- 0.016 		0.252 +- 0.003
0.004		0.297 +- 0.016 		0.252 +- 0.003
0.005		0.297 +- 0.016 		0.252 +- 0.003
0.006		0.297 +- 0.016 		0.252 +- 0.003
0.007		0.297 +- 0.016 		0.252 +- 0.003
0.008		0.297 +- 0.016 		0.252 +- 0.003
0.009		0.297 +- 0.016 		0.252 +- 0.003
0.010		0.297 +- 0.016 		0.252 +- 0.003
0.011		0.297 +- 0.016 		0.252 +- 0.003
0.012		0.297 +- 0.016 		0.252 +- 0.003
0.013		0.297 +- 0.016 		0.252 +- 0.003
0.014		0.296 +- 0.016 		0.252 +- 0.003
0.015		0.296 +- 0.016 		0.252 +- 0.003
0.016		0.296 +- 0.016 		0.252 +- 0.003
0.017		0.296 +- 0.016 		0.252 +- 0.003
0.018		0.296 +- 0.016 		0.252 +- 0.003
0.019		0.296 +- 0.016 		0.252 +- 0.003
0.020		0.296 +- 0.016 		0.252 +- 0.003
0.021		0.296 +- 0.016 		0.252 +- 0.003
0.022		0.296 +- 0.016 		0.252 +- 0.003
0.023		0.295 +- 0.016 		0.252 +- 0.003
0.024		0.295 +- 0.016 		0.252 +- 0.003
0.025		0.295 +- 0.016 		0.252 +- 0.003
0.026		0.295 +- 0.016 		0.252 +- 0.003
0.027		0.295 +- 0.016 		0.252 +- 0.003
0.028		0.295 +- 0.016 		0.252 +- 0.003
0.029		0.294 +- 0.016 		0.252 +- 0.003
0.030		0.294 +- 0.016 		0.252 +- 0.003
0.031		0.294 +- 0.016 		0.252 +- 0.003
0.032		0.294 +- 0.016 		0.252 +- 0.003
0.033		0.294 +- 0.016 		0.252 +- 0.003
0.034		0.293 +- 0.016 		0.252 +- 0.003
0.035		0.293 +- 0.016 		0.252 +- 0.003
0.036		0.293 +- 0.016 		0.252 +- 0.003
0.037		0.293 +- 0.016 		0.252 +- 0.003
0.038		0.292 +- 0.016 		0.252 +- 0.003
0.039		0.292 +- 0.016 		0.252 +- 0.003
0.040		0.292 +- 0.016 		0.252 +- 0.003
0.041		0.292 +- 0.016 		0.252 +- 0.003
0.042		0.291 +- 0.016 		0.252 +- 0.003
0.043		0.291 +- 0.016 		0.252 +- 0.003
0.044		0.291 +- 0.016 		0.252 +- 0.003
0.045		0.291 +- 0.016 		0.252 +- 0.003
0.046		0.290 +- 0.016 		0.252 +- 0.003
0.047		0.290 +- 0.016 		0.251 +- 0.003
0.048		0.290 +- 0.016 		0.251 +- 0.003
0.049		0.289 +- 0.016 		0.251 +- 0.003
0.050		0.289 +- 0.016 		0.251 +- 0.003
0.051		0.289 +- 0.016 		0.251 +- 0.003
0.052		0.288 +- 0.016 		0.251 +- 0.003
0.053		0.288 +- 0.016 		0.251 +- 0.003
0.054		0.288 +- 0.016 		0.251 +- 0.003
0.055		0.287 +- 0.016 		0.251 +- 0.003
0.056		0.287 +- 0.016 		0.251 +- 0.003
0.057		0.287 +- 0.016 		0.251 +- 0.003
0.058		0.286 +- 0.016 		0.251 +- 0.003
0.059		0.286 +- 0.016 		0.251 +- 0.003
0.060		0.286 +- 0.015 		0.251 +- 0.003
0.061		0.285 +- 0.015 		0.251 +- 0.003
0.062		0.285 +- 0.015 		0.251 +- 0.003
0.063		0.284 +- 0.015 		0.251 +- 0.003
0.064		0.284 +- 0.015 		0.251 +- 0.003
0.065		0.284 +- 0.015 		0.251 +- 0.003
0.066		0.283 +- 0.015 		0.251 +- 0.003
0.067		0.283 +- 0.015 		0.251 +- 0.003
0.068		0.282 +- 0.015 		0.251 +- 0.003
0.069		0.282 +- 0.015 		0.251 +- 0.003
0.070		0.282 +- 0.015 		0.251 +- 0.003
0.071		0.281 +- 0.015 		0.251 +- 0.003
0.072		0.281 +- 0.015 		0.251 +- 0.003
0.073		0.280 +- 0.015 		0.251 +- 0.003
0.074		0.280 +- 0.015 		0.251 +- 0.003
0.075		0.279 +- 0.015 		0.251 +- 0.003
0.076		0.279 +- 0.015 		0.251 +- 0.003
0.077		0.278 +- 0.015 		0.251 +- 0.003
0.078		0.278 +- 0.015 		0.251 +- 0.003
0.079		0.277 +- 0.015 		0.251 +- 0.003
0.080		0.277 +- 0.015 		0.251 +- 0.003
0.081		0.277 +- 0.015 		0.251 +- 0.003
0.082		0.276 +- 0.015 		0.250 +- 0.003
0.083		0.276 +- 0.015 		0.250 +- 0.003
0.084		0.275 +- 0.015 		0.250 +- 0.003
0.085		0.275 +- 0.014 		0.250 +- 0.003
0.086		0.274 +- 0.014 		0.250 +- 0.003
0.087		0.273 +- 0.014 		0.250 +- 0.003
0.088		0.273 +- 0.014 		0.250 +- 0.003
0.089		0.272 +- 0.014 		0.250 +- 0.003
0.090		0.272 +- 0.014 		0.250 +- 0.003
0.091		0.271 +- 0.014 		0.250 +- 0.003
0.092		0.271 +- 0.014 		0.250 +- 0.003
0.093		0.270 +- 0.014 		0.250 +- 0.003
0.094		0.270 +- 0.014 		0.250 +- 0.003
0.095		0.269 +- 0.014 		0.250 +- 0.003
0.096		0.269 +- 0.014 		0.250 +- 0.003
0.097		0.268 +- 0.014 		0.250 +- 0.003
0.098		0.267 +- 0.014 		0.250 +- 0.003
