Fit 2
peak	1.4	1.6364e+00 	1.9
muL	0	4.7681e-01 	1
muPeak	0.65	7.5715e-01 	1.25
muR	0	6.0980e-02 	1
nuL	0.5	2.3091e+00 	2.8
nuR	0.5	1.3787e+00 	2.5
bo1	-0.1	1.8480e-02 	0.11
bs1	-0.15	6.3844e-03 	0.2
bc1	-0.06	-6.9884e-03	0.04
sl1	0.05	1.0702e-01 	0.11
sh1	0.03	5.4284e-02 	0.07
bo2	-0.15	4.5000e-01 	0.45
bs2	-0.5	2.7038e-01 	0.3
bc2	-0.15	-1.5000e-01	0.2
sl2	0.1	4.0000e-01 	0.4
sh2	0.01	3.0000e-01 	0.3
fl	0.5	9.8732e-01 	1
fh	0	9.9086e-01 	1
bfrac	0.001	6.0000e-02 	0.03
bmean	-0.2	1.0000e-01 	-0.65
bsigr	0.1	1.0000e+00 	1
bsigl	0.3	3.8151e-01 	1.1
bpow	0.07	7.0000e-01 	-2.2
bsigpow	1	1.3800e+00 	-3
























