0   1	|	44	1.00	0.00	44	1.00	0.00
0   2	|	310	1.00	0.00	310	1.00	0.00
0   3	|	38	0.88	0.26	20	0.47	0.53
0   4	|	78	0.94	0.07	59	0.71	0.29
0   5	|	99	0.95	0.07	104	1.00	0.00
0   7	|	31	0.62	0.84	16	0.32	1.04
0   8	|	28	0.80	0.49	12	0.34	1.00
0   9	|	12	0.14	1.36	87	1.00	0.00
0   10	|	137	0.91	0.13	150	1.00	0.00
0   12	|	12	0.26	1.57	12	0.26	0.74
0   13	|	82	0.60	1.04	71	0.52	0.48
0   14	|	2	0.29	2.86	1	0.14	0.86
0   15	|	49	0.74	0.64	39	0.59	0.41
0   16	|	1	1.00	0.00	1	1.00	0.00
0   18	|	2	0.50	1.75	3	0.75	0.25
0   23	|	25	0.56	1.56	45	1.00	0.00
0   28	|	1	0.17	2.83	6	1.00	0.00
0   30	|	3	0.17	2.78	5	0.28	0.72
0   32	|	6	0.60	1.40	6	0.60	0.40
0   33	|	20	0.91	0.18	14	0.64	0.36
0   34	|	14	0.64	1.00	2	0.09	1.50
0   35	|	16	0.62	0.92	6	0.23	1.12
0   37	|	77	0.85	0.42	91	1.00	0.00
0   40	|	18	0.27	1.48	20	0.30	0.70
0   41	|	15	0.14	2.27	33	0.32	0.68
0   52	|	12	0.55	1.14	22	1.00	0.00
0   53	|	2	0.20	2.40	3	0.30	0.70

1   1	|	69	1.00	0.00	69	1.00	0.00
1   2	|	369	1.00	0.00	369	1.00	0.00
1   3	|	49	0.91	0.15	29	0.54	0.46
1   4	|	119	0.99	0.01	89	0.74	0.26
1   5	|	116	0.94	0.08	123	1.00	0.00
1   7	|	50	0.69	0.75	19	0.26	1.04
1   8	|	38	0.93	0.12	18	0.44	0.85
1   9	|	22	0.19	1.13	114	1.00	0.00
1   10	|	189	0.90	0.14	210	1.00	0.00
1   12	|	28	0.35	1.50	16	0.20	0.80
1   13	|	136	0.64	0.92	114	0.54	0.46
1   14	|	2	0.20	1.90	3	0.30	0.70
1   15	|	58	0.76	0.64	43	0.57	0.43
1   16	|	1	0.50	1.00	1	0.50	0.50
1   18	|	2	0.50	1.75	2	0.50	0.50
1   22	|	3	0.04	3.27	73	1.00	0.00
1   23	|	27	0.45	2.00	60	1.00	0.00
1   28	|	6	0.55	1.09	11	1.00	0.00
1   30	|	3	0.20	2.53	5	0.33	0.67
1   32	|	9	0.90	0.40	3	0.30	0.70
1   33	|	13	1.00	0.00	10	0.77	0.23
