0   1	|	1	32	5	0	14	0.05
0   2	|	10	251	32	0	33	0.13
0   3	|	3	27	4	3	13	0.13
0   4	|	2	69	6	2	14	0.08
0   5	|	5	83	11	1	8	0.20
0   7	|	1	27	6	0	31	0.03
0   8	|	0	23	3	3	14	0.00
0   9	|	0	12	13	39	45	0.00
0   10	|	5	109	16	6	27	0.09
0   12	|	0	14	6	8	37	0.00
0   13	|	6	74	15	10	78	0.06
0   14	|	0	3	2	1	3	0.00
0   15	|	3	45	7	1	20	0.10
0   16	|	0	1	0	0	1	0.00
0   18	|	0	2	0	1	1	0.00
0   22	|	0	2	5	8	59	0.00
0   23	|	0	21	6	7	28	0.00
0   24	|	0	0	0	0	3	0.00
0   28	|	0	3	1	1	9	0.00
0   29	|	0	0	0	0	6	0.00
0   30	|	0	4	2	7	8	0.00
0   32	|	0	8	0	1	2	0.00
0   33	|	0	18	1	1	2	0.00
0   34	|	0	9	4	3	12	0.00
0   35	|	0	18	1	1	12	0.00
0   36	|	0	2	2	7	26	0.00
0   37	|	2	70	5	4	25	0.06
0   39	|	0	0	0	0	2	0.00
0   40	|	1	13	7	24	49	0.01
0   41	|	1	14	22	26	118	0.01
0   43	|	0	0	0	0	7	0.00
0   44	|	0	0	0	0	2	0.00
0   52	|	0	12	2	3	9	0.00
0   53	|	0	5	2	1	11	0.00

1   1	|	1	57	9	0	9	0.05
1   2	|	14	302	34	0	45	0.15
1   3	|	2	38	6	0	21	0.07
1   4	|	3	101	13	0	10	0.12
1   5	|	4	93	13	3	18	0.11
1   6	|	0	0	0	0	2	0.00
1   7	|	0	42	7	5	40	0.00
1   8	|	3	29	3	1	10	0.18
1   9	|	0	21	13	57	44	0.00
1   10	|	7	152	21	15	37	0.09
1   11	|	0	0	0	0	1	0.00
1   12	|	0	31	8	16	42	0.00
1   13	|	6	118	18	23	110	0.04
1   14	|	0	3	1	1	7	0.00
1   15	|	1	48	11	4	32	0.02
1   16	|	0	1	0	0	4	0.00
1   17	|	0	0	0	0	4	0.00
1   18	|	1	1	0	1	1	0.33
1   22	|	0	4	14	23	75	0.00
1   23	|	2	24	9	8	53	0.03
1   24	|	0	0	1	1	10	0.00
1   28	|	1	3	0	1	11	0.08
1   29	|	0	1	0	0	4	0.00
1   30	|	0	1	4	5	18	0.00
1   32	|	0	4	3	0	9	0.00
1   33	|	1	9	2	0	3	0.17
1   34	|	0	11	4	3	31	0.00
1   35	|	3	24	4	2	16	0.12
1   36	|	0	14	8	7	46	0.00
1   37	|	2	98	19	6	33	0.03
1   38	|	0	0	0	0	1	0.00
1   39	|	0	0	1	0	3	0.00
1   40	|	1	36	19	36	89	0.01
1   41	|	1	44	17	24	134	0.01
1   43	|	0	1	1	0	4	0.00
1   44	|	0	0	0	0	1	0.00
1   52	|	1	14	3	3	20	0.04
1   53	|	0	5	3	3	18	0.00

10   1	|	49	1098	139	1	164	0.14
10   2	|	7	80	10	0	8	0.28
10   3	|	75	1843	250	15	356	0.11
10   4	|	2	68	10	1	13	0.08
10   5	|	0	29	4	3	14	0.00
10   6	|	2	44	5	1	9	0.12
10   7	|	28	763	100	8	215	0.08
10   8	|	0	24	7	3	4	0.00
10   9	|	27	636	100	24	167	0.08
10   10	|	1	11	5	4	11	0.05
10   11	|	4	64	8	0	9	0.19
10   12	|	20	504	85	25	217	0.06
10   13	|	4	148	39	27	154	0.02
10   14	|	7	131	20	8	46	0.09
10   15	|	4	58	13	14	63	0.04
10   16	|	0	9	0	0	4	0.00
10   17	|	0	5	2	1	2	0.00
10   18	|	1	21	6	4	16	0.04
10   22	|	3	137	58	52	292	0.01
10   23	|	2	88	60	66	370	0.00
10   24	|	1	91	32	39	123	0.01
10   28	|	0	8	1	0	14	0.00
10   29	|	0	5	0	2	5	0.00
10   30	|	0	11	4	3	22	0.00
10   32	|	12	154	30	1	34	0.16
10   33	|	2	31	4	1	9	0.13
10   34	|	16	516	74	15	166	0.06
10   35	|	7	73	15	1	43	0.11
10   36	|	11	399	64	37	168	0.04
10   37	|	2	115	27	12	85	0.02
10   38	|	2	73	4	0	10	0.13
10   39	|	0	27	4	1	5	0.00
10   40	|	12	301	78	24	242	0.03
10   41	|	49	1052	215	97	629	0.05
10   42	|	2	173	48	13	167	0.01
10   43	|	2	85	13	3	49	0.03
10   44	|	1	31	4	0	11	0.06
10   48	|	5	94	54	48	291	0.01
10   49	|	1	3	7	6	45	0.02
10   50	|	0	2	4	1	14	0.00
10   52	|	1	32	18	17	96	0.01
10   53	|	3	53	43	34	260	0.01

11   1	|	80	1869	262	2	291	0.13
11   2	|	4	140	13	1	33	0.08
11   3	|	115	3339	524	38	756	0.08
11   4	|	2	95	15	1	26	0.05
11   5	|	1	72	16	4	37	0.02
11   6	|	3	95	17	0	17	0.08
11   7	|	43	1282	227	20	549	0.05
11   8	|	1	37	5	0	19	0.04
11   9	|	46	1142	188	53	451	0.06
11   10	|	0	36	7	2	40	0.00
11   11	|	5	112	12	1	13	0.16
11   12	|	36	864	195	48	679	0.04
11   13	|	10	215	68	28	430	0.02
11   14	|	9	242	42	13	142	0.04
11   15	|	4	109	37	16	239	0.01
11   16	|	0	21	5	0	5	0.00
11   17	|	0	13	1	0	15	0.00
11   18	|	2	36	9	5	77	0.02
11   22	|	10	265	140	90	1216	0.01
11   23	|	5	144	152	111	1820	0.00
11   24	|	10	161	64	44	630	0.01
11   28	|	1	9	3	4	70	0.01
11   29	|	0	17	2	2	24	0.00
11   30	|	2	18	8	4	117	0.02
11   32	|	14	338	68	7	165	0.06
11   33	|	1	34	12	1	23	0.03
11   34	|	52	1026	181	19	489	0.07
11   35	|	5	92	17	7	129	0.03
11   36	|	26	702	140	54	533	0.03
11   37	|	10	179	53	17	307	0.03
11   38	|	4	96	16	2	13	0.11
11   39	|	3	63	12	3	53	0.04
11   40	|	19	589	162	43	670	0.02
11   41	|	85	1971	469	167	1913	0.03
11   42	|	9	282	128	38	896	0.01
11   43	|	6	151	26	8	162	0.03
11   44	|	4	83	14	3	50	0.06
11   48	|	9	208	167	97	1925	0.00
11   49	|	1	11	9	11	286	0.00
11   50	|	1	8	10	4	120	0.01
11   52	|	1	56	44	31	484	0.00
11   53	|	7	110	99	52	1338	0.00

12   1	|	64	1540	199	7	263	0.12
12   2	|	2	100	15	1	26	0.05
12   3	|	106	2628	376	36	538	0.10
12   4	|	3	77	7	1	9	0.15
12   5	|	0	33	6	2	33	0.00
12   6	|	2	69	7	2	16	0.07
12   7	|	36	1036	189	31	432	0.05
12   8	|	2	20	8	0	16	0.08
12   9	|	23	843	146	44	323	0.04
12   10	|	1	11	6	2	17	0.04
12   11	|	3	94	4	1	14	0.14
12   12	|	24	709	136	50	521	0.03
12   13	|	7	120	42	25	376	0.02
12   14	|	5	150	30	11	121	0.03
12   15	|	3	58	30	10	210	0.01
12   16	|	1	14	1	0	7	0.11
12   17	|	1	7	0	0	14	0.07
12   18	|	1	34	6	1	80	0.01
12   22	|	6	152	70	64	1005	0.01
12   23	|	3	64	81	66	1758	0.00
12   24	|	9	98	38	40	661	0.01
12   28	|	1	5	3	2	62	0.01
12   29	|	0	3	3	3	24	0.00
12   30	|	0	8	6	3	84	0.00
12   32	|	6	198	40	7	112	0.04
12   33	|	0	16	2	1	12	0.00
12   34	|	36	790	122	23	392	0.06
12   35	|	3	73	14	4	123	0.02
12   36	|	21	538	98	40	355	0.04
12   37	|	10	68	25	30	298	0.03
12   38	|	2	54	9	0	14	0.08
12   39	|	3	38	8	3	65	0.04
12   40	|	19	459	106	36	533	0.03
12   41	|	54	1400	286	145	1475	0.03
12   42	|	8	121	73	37	907	0.01
12   43	|	4	91	18	11	211	0.02
12   44	|	5	70	9	2	48	0.08
12   48	|	6	99	70	60	1319	0.00
12   49	|	1	5	10	9	219	0.00
12   50	|	0	5	12	5	130	0.00
12   52	|	1	11	30	17	494	0.00
12   53	|	3	59	58	38	1308	0.00

13   1	|	16	405	61	13	84	0.09
13   2	|	2	16	5	3	7	0.12
13   3	|	22	733	101	30	204	0.06
13   4	|	0	35	4	2	13	0.00
13   5	|	0	11	10	4	35	0.00
13   6	|	0	25	4	3	6	0.00
13   7	|	10	258	58	30	227	0.03
13   8	|	0	14	2	2	8	0.00
13   9	|	12	245	55	34	209	0.04
13   10	|	0	10	4	2	36	0.00
13   11	|	2	18	4	4	7	0.12
13   12	|	7	198	57	41	372	0.01
13   13	|	2	86	40	35	373	0.00
13   14	|	2	50	15	2	92	0.02
13   15	|	5	33	26	8	188	0.02
13   16	|	0	3	0	1	7	0.00
13   17	|	0	1	0	0	14	0.00
13   18	|	0	5	1	6	84	0.00
13   22	|	2	54	45	46	889	0.00
13   23	|	4	49	105	86	1590	0.00
13   24	|	4	36	29	29	443	0.01
13   28	|	0	5	3	0	53	0.00
13   29	|	0	2	1	3	19	0.00
13   30	|	1	3	7	6	68	0.01
13   32	|	1	74	22	8	68	0.01
13   33	|	1	19	7	3	18	0.03
13   34	|	11	195	49	14	239	0.04
13   35	|	1	42	10	4	123	0.01
13   36	|	2	165	41	40	311	0.01
13   37	|	4	69	40	39	315	0.01
13   38	|	1	19	4	3	15	0.04
13   39	|	0	17	2	3	73	0.00
13   40	|	6	130	46	37	400	0.01
13   41	|	20	445	172	106	1190	0.01
13   42	|	7	108	72	42	821	0.01
13   43	|	0	34	15	10	176	0.00
13   44	|	0	17	4	2	46	0.00
13   48	|	1	38	69	43	1169	0.00
13   49	|	0	7	10	7	218	0.00
13   50	|	0	2	8	1	80	0.00
13   52	|	2	19	23	22	442	0.00
13   53	|	2	34	65	42	997	0.00

14   1	|	17	264	37	5	57	0.15
14   2	|	0	22	1	0	3	0.00
14   3	|	8	469	78	8	189	0.03
14   4	|	1	14	2	1	10	0.07
14   5	|	0	14	5	2	26	0.00
14   6	|	1	13	0	0	8	0.11
14   7	|	9	189	50	11	172	0.04
14   8	|	0	4	3	0	10	0.00
14   9	|	4	172	37	24	195	0.02
14   10	|	0	6	2	0	16	0.00
14   11	|	1	16	1	0	5	0.14
14   12	|	9	136	54	22	360	0.02
14   13	|	2	30	19	16	353	0.01
14   14	|	0	34	6	3	93	0.00
14   15	|	0	22	8	5	188	0.00
14   16	|	0	4	1	0	3	0.00
14   17	|	0	3	0	0	4	0.00
14   18	|	0	7	2	2	72	0.00
14   22	|	3	31	38	25	902	0.00
14   23	|	3	51	69	39	1727	0.00
14   24	|	4	39	17	25	525	0.01
14   28	|	0	2	2	2	31	0.00
14   29	|	0	2	1	1	21	0.00
14   30	|	0	1	2	3	57	0.00
14   32	|	4	59	22	10	77	0.04
14   33	|	0	10	1	0	13	0.00
14   34	|	4	160	45	22	199	0.01
14   35	|	2	22	9	3	97	0.02
14   36	|	4	101	38	23	290	0.01
14   37	|	2	33	24	13	311	0.01
14   38	|	0	16	3	1	17	0.00
14   39	|	1	13	3	3	57	0.02
14   40	|	3	88	27	12	405	0.01
14   41	|	21	298	129	67	1179	0.02
14   42	|	2	57	58	24	908	0.00
14   43	|	2	23	12	8	204	0.01
14   44	|	1	16	3	0	33	0.03
