0   1	|	42	1.00	0.00	42	1.00	0.00
0   2	|	169	1.00	0.00	169	1.00	0.00
0   3	|	18	0.90	0.10	8	0.40	0.60
0   4	|	50	0.96	0.19	38	0.73	0.27
0   5	|	41	0.93	0.18	44	1.00	0.00
0   7	|	26	0.79	0.39	7	0.21	0.94
0   8	|	15	0.79	0.63	3	0.16	1.32
0   9	|	9	0.20	1.16	45	1.00	0.00
0   10	|	55	0.89	0.21	62	1.00	0.00
0   12	|	16	0.50	1.06	5	0.16	0.84
0   13	|	44	0.54	1.50	41	0.50	0.50
0   15	|	29	0.71	0.80	14	0.34	0.66
0   22	|	4	0.25	2.19	16	1.00	0.00
0   23	|	7	0.37	3.32	19	1.00	0.00
0   28	|	1	0.33	2.67	3	1.00	0.00
0   30	|	1	0.50	2.50	1	0.50	0.50
0   32	|	4	0.57	1.71	0	0.00	1.00
0   33	|	5	1.00	0.00	5	1.00	0.00
0   34	|	6	0.50	1.08	0	0.00	1.42
0   35	|	13	0.93	0.43	5	0.36	0.86
0   36	|	1	0.06	2.12	17	1.00	0.00
0   37	|	40	0.77	0.65	52	1.00	0.00
0   40	|	15	0.26	1.25	16	0.28	0.72
0   41	|	12	0.20	2.14	16	0.27	0.73
0   42	|	1	1.00	0.00	0	0.00	1.00
0   52	|	5	0.50	1.20	10	1.00	0.00
0   53	|	2	0.33	1.50	3	0.50	0.50

1   1	|	43	1.00	0.00	43	1.00	0.00
1   2	|	218	0.99	0.03	220	1.00	0.00
1   3	|	35	0.90	0.28	15	0.38	0.62
1   4	|	93	1.00	0.00	74	0.80	0.20
1   5	|	63	0.94	0.06	67	1.00	0.00
1   7	|	40	0.74	0.52	7	0.13	1.33
1   8	|	22	0.85	0.19	8	0.31	1.00
1   9	|	16	0.25	1.03	65	1.00	0.00
1   10	|	103	0.93	0.15	111	1.00	0.00
1   12	|	15	0.32	1.66	13	0.28	0.72
1   13	|	73	0.66	0.89	53	0.48	0.52
1   15	|	40	0.75	0.66	26	0.49	0.51
1   16	|	1	0.50	1.00	1	0.50	0.50
1   22	|	1	0.03	2.94	34	1.00	0.00
1   23	|	11	0.34	2.47	32	1.00	0.00
1   24	|	1	0.25	3.00	4	1.00	0.00
1   28	|	3	0.60	0.60	5	1.00	0.00
1   32	|	4	0.67	1.00	0	0.00	1.00
1   33	|	5	0.71	1.14	5	0.71	0.29
